Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-24,5.512602104989986,5.5401652206594765,5.512602104989986,5.526383399963379,288800,0.0,0
2007-04-25,5.540164705982665,5.65041663269561,5.5346519782163535,5.642147541046143,215300,0.0,0
2007-04-26,5.669712489609294,5.733107302276688,5.609074041717373,5.724838733673096,150300,0.0,0
2007-04-27,5.655929546817645,5.782719135284424,5.655929546817645,5.782719135284424,91800,0.0,0
2007-04-30,5.78272060267215,5.788233332018974,5.683494103043333,5.733107089996338,157100,0.0,0
2007-05-01,5.782717692861749,5.85713792442789,5.719322914441351,5.83233118057251,135900,0.0,0
2007-05-02,5.74688532225163,5.923288345336914,5.74688532225163,5.923288345336914,152800,0.0,0
2007-05-03,5.92604542983662,6.025272405265097,5.821306253557426,5.898482322692871,99300,0.0,0
2007-05-04,6.014249111821362,6.014249111821362,5.7909888626575965,5.890215873718262,99900,0.0,0
2007-05-07,5.926048252159897,6.008737087249756,5.82130902599789,6.008737087249756,103000,0.0,0
2007-05-08,5.989439484656998,5.992195847610621,5.8984816100773365,5.967389106750488,62300,0.0,0
2007-05-09,5.956367947225933,6.019762758080167,5.956367947225933,6.000468730926514,55700,0.0,0
2007-05-10,6.0004670687365635,6.052836406297411,5.953609933319245,5.997710704803467,104300,0.0,0
2007-05-11,6.000468519174445,6.050082030517477,5.926048252159897,6.008737087249756,78400,0.0,0
2007-05-14,6.041810759794922,6.055592052103432,5.989440902721903,6.017004013061523,71500,0.0,0
2007-05-15,6.044568818689627,6.047325183068913,5.953610897064209,5.953610897064209,87700,0.0,0
2007-05-16,5.956365836666137,6.058348665691404,5.953609472946181,5.992197513580322,57700,0.0,0
2007-05-17,6.01976204500733,6.091425941462506,5.939829055441759,6.036299705505371,87100,0.0,0
2007-05-18,6.10520552195387,6.10520552195387,5.975659587298148,6.005979061126709,63600,0.0,0
2007-05-21,5.953612107586689,6.019763288971525,5.854385072648006,5.912267684936523,84400,0.0,0
2007-05-22,5.879190705020835,5.992199017284646,5.870921611785889,5.870921611785889,61400,0.0,0
2007-05-23,5.870921353668337,5.9122662923025615,5.840602397918701,5.840602397918701,61600,0.0,0
2007-05-24,5.567726868297743,5.59528945097716,5.518113378318689,5.581508159637451,848600,0.0,0
2007-05-25,5.589778412396992,5.677979957048809,5.553946206305519,5.6338791847229,354400,0.0,0
2007-05-29,5.636634634541266,5.636634634541266,5.556701669087667,5.595289707183838,236500,0.0,0
2007-05-30,5.587021593695398,5.587021593695398,5.44645019620137,5.523626804351807,313700,0.0,0
2007-05-31,5.52913900828282,5.587021595848613,5.526382644520388,5.584265232086182,138000,0.0,0
2007-06-01,5.567728785238473,5.578753716961555,5.51811527817774,5.575997352600098,141400,0.0,0
