Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-01,21.219054365347937,21.344610578857974,18.90044334282935,20.005340576171875,3264700,0.0,0
2007-11-02,20.767044968414023,20.767044968414023,19.712370160809908,20.591266632080078,711700,0.0,0
2007-11-05,19.293849186414416,19.628667814184027,17.47746499585848,19.168292999267578,1254000,0.0,0
2007-11-06,18.666064434027064,18.95902990021374,16.866421708213696,18.0299129486084,820300,0.0,0
2007-11-07,16.66553926481253,17.15102452730327,15.493678451545296,16.414426803588867,724400,0.0,0
2007-11-08,15.485303062355172,15.887083515399565,15.066781357967194,15.728046417236328,654900,0.0,0
2007-11-09,15.06678269873705,15.90382618200022,14.053960850324813,15.652713775634766,538300,0.0,0
2007-11-12,15.117004001035184,17.017092983157116,14.64826012409361,16.523237228393555,458600,0.0,0
2007-11-13,16.55671765615856,17.377019737084485,16.012638213971524,17.050573348999023,406300,0.0,0
2007-11-14,17.09242559502573,18.565622110549487,15.987528607516296,16.11308479309082,245200,0.0,0
2007-11-15,15.9038274553087,15.9038274553087,15.066783905029295,15.066783905029297,293300,0.0,0
2007-11-16,15.066782034763415,15.183967606365245,14.22973858838767,14.464111328125,192900,0.0,0
2007-11-19,14.363664383320085,14.363664383320085,12.97417248957826,13.308989524841309,614200,0.0,0
2007-11-20,13.392694172326634,13.945142679212424,11.701866149902342,11.701866149902344,408900,0.0,0
2007-11-21,10.88156318664551,11.115935093304731,10.044519864595854,10.881563186645508,735900,0.0,0
2007-11-23,11.115935658583297,13.777733015240186,11.048972253275373,13.292248725891113,214400,0.0,0
2007-11-26,13.560101732404402,14.865888798110499,12.940689100449791,14.798925399780273,261800,0.0,0
2007-11-27,13.928401619747676,14.916113083976303,13.769364523769804,14.731964111328125,132900,0.0,0
2007-11-28,14.346923388373202,15.753156558098823,14.321813108113979,15.485302925109863,200700,0.0,0
2007-11-29,15.27604255723648,15.443451881408691,14.623148108805223,15.443451881408691,84800,0.0,0
2007-11-30,15.552267638617778,15.753157880219684,13.69403170639986,15.024930953979492,237500,0.0,0
2007-12-03,14.899370340246927,14.899370340246927,14.062327026827809,14.229736328125,93400,0.0,0
2007-12-04,14.229739044651842,14.229739044651842,13.493141490697644,13.811217308044434,134700,0.0,0
2007-12-05,14.062330450995471,14.422259418853491,13.811218034437404,13.819588661193848,49000,0.0,0
2007-12-06,13.836327533778713,14.120922408390026,13.702400721789099,13.92003059387207,46400,0.0,0
2007-12-07,13.735885978259335,14.949599892538641,13.735885978259335,14.447373390197754,99000,0.0,0
2007-12-10,14.229737753657043,15.066781150930986,14.229737753657043,14.731964111328125,62000,0.0,0
