Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-05,47.45740343719503,47.55909742977932,46.47920144095236,47.11842346191406,1565500,0.0,0
2020-03-06,47.45740292083559,47.45740292083559,45.605596900326354,46.178958892822266,1191200,0.0,0
2020-03-09,45.21044354862408,45.21044354862408,44.745555115338554,45.036109924316406,844200,0.0,0
2020-03-10,45.84966375688017,46.00462656172495,45.4235169672082,45.76249694824219,1277300,0.0,0
2020-03-11,45.0748494071414,45.61721737287898,44.92085458983957,45.018672943115234,495800,0.0,0
2020-03-12,44.05790591432969,45.452571152215135,43.384782192570825,44.30971908569336,751100,0.0,0
2020-03-13,44.755234577826904,45.1813850402832,43.13781061598997,45.1813850402832,53900,0.0,0
2020-03-16,44.21287215763927,44.21287215763927,41.355741769092816,41.384796142578125,346700,0.0,0
2020-03-17,40.96833190755268,43.418686230654174,40.96833190755268,42.55670166015625,62700,0.0,0
2020-03-18,40.677773559721224,43.43804957343191,39.32184629655536,40.05792236328125,40700,0.0,0
2020-03-19,40.98769862478754,45.14264347104666,40.98769862478754,43.58332824707031,209800,0.0,0
2020-03-20,44.55184606126664,44.55184606126664,40.45501370376792,44.241920471191406,296500,0.0,0
2020-03-23,39.670513819177245,41.54944192907115,39.670513819177245,41.16203308105469,1100,0.0,0
2020-03-24,42.13055081339278,44.2419212416783,39.72862560117718,40.91990280151367,418000,0.0,0
2020-03-25,41.76251689725207,41.76251689725207,37.75285087805932,40.222572326660156,7700,0.0,0
2020-03-26,39.03128949282819,41.9465318495874,39.03128949282819,41.64628982543945,135800,0.0,0
2020-03-27,42.73103444619214,42.73103444619214,39.873904181704305,41.11845397949219,77500,0.0,0
2020-03-30,40.251627169626005,42.31456875970994,40.20319829257615,40.8133659362793,9400,0.0,0
2020-03-31,40.54218330938384,44.387202776211595,39.709256843003594,44.34846115112305,401600,0.0,0
2020-04-01,42.89568204318315,42.89568204318315,39.34606111948342,39.5639762878418,21700,0.0,0
2020-04-02,39.263739432734184,39.622090230066036,38.798851013183594,38.798851013183594,38600,0.0,0
2020-04-03,42.237089886957506,42.237089886957506,36.72621758218534,37.287960052490234,41300,0.0,0
2020-04-06,36.25648880004883,36.25648880004883,36.25648880004883,36.25648880004883,25200,0.0,0
2020-04-07,37.77221932252962,38.5179789678911,36.193533224047414,38.00466537475586,39100,0.0,0
