Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-10,2.4648701405421094,2.794332981109619,2.391656175971552,2.794332981109619,143929200,0.0,0.0
2000-08-11,2.672309737758511,2.8431423237339413,2.6357027550494907,2.78823184967041,25139200,0.0,0.0
2000-08-14,2.7455242387541046,2.818738218454214,2.7333219088040863,2.7760300636291504,6935200,0.0,0.0
2000-08-15,2.7760295221007367,2.873648142658125,2.739422539391716,2.78823184967041,9078800,0.0,0.0
2000-08-16,2.8126372950417657,2.9285594395228793,2.7821314675467357,2.8614466190338135,11728000,0.0,0.0
2000-08-17,2.8858509863295208,3.038380108228544,2.8736486565775987,3.0017731189727783,7148000,0.0,0.0
2000-08-18,3.026178269550718,3.026178269550718,2.7333223079812936,2.8309409618377686,8824800,0.0,0.0
2000-08-21,2.8309401810936663,2.8553448378272326,2.7699285392597512,2.843142509460449,6075200,0.0,0.0
2000-08-22,2.855345385849096,2.8736488819122314,2.8187383937228256,2.8736488819122314,5407600,0.0,0.0
2000-08-23,2.8675466553304205,2.9407606124877925,2.8431420029446297,2.940760612487793,7268400,0.0,0.0
2000-08-24,2.8980532692650613,2.916356763597262,2.873648610155461,2.8797497749328613,5224400,0.0,0.0
2000-08-25,2.910255439517912,2.9529635906219482,2.879749617300743,2.9529635906219482,2186800,0.0,0.0
2000-08-28,2.9651652648735833,2.9651652648735833,2.910254797005554,2.940760612487793,2670800,0.0,0.0
2000-08-29,2.922456636007531,3.0383787155151363,2.916355473928183,3.0383787155151367,6166400,0.0,0.0
2000-08-30,3.026176777920982,3.2214139893997547,3.026176777920982,3.148200035095215,8611200,0.0,0.0
2000-08-31,3.154301179181382,3.154301179181382,3.0749860624901673,3.105491876602173,4484400,0.0,0.0
2000-09-01,3.0932901120615863,3.0932901120615863,3.0383796366995464,3.044480800628662,5405600,0.0,0.0
2000-09-05,3.0322790844032013,3.068886075361791,3.0078744237641413,3.0627849102020264,3062400,0.0,0.0
2000-09-06,3.087189644575119,3.270224603739652,3.087189644575119,3.2214152812957764,6776000,0.0,0.0
2000-09-07,3.2702236818463617,3.32513415411617,3.19700971881995,3.258021354675293,5206800,0.0,0.0
2000-09-08,3.2580224111789966,3.2580224111789966,3.154302596590901,3.1970107555389404,5362800,0.0,0.0
2000-09-11,3.1604034636749785,3.294629093406348,3.129897638736031,3.2519209384918213,6394400,0.0,0.0
2000-09-12,3.1970105828590767,3.23361757426586,3.142100095748902,3.1421000957489014,7189200,0.0,0.0
2000-09-13,3.1359976843783732,3.142098847188448,3.0078732653668054,3.01397442817688,5692400,0.0,0.0
2000-09-14,3.0749863165396234,3.087188643192558,2.9468618866838057,2.965165376663208,6436000,0.0,0.0
2000-09-15,2.9346600972916472,3.0566833861603224,2.910255439517912,2.9529635906219482,4436400,0.0,0.0
2000-09-18,2.9102549405808142,2.989570064747587,2.8370409798114857,2.867546796798706,3819200,0.0,0.0
2000-09-19,2.867546938438496,2.9102550843301334,2.843142283643275,2.885850429534912,3072400,0.0,0.0
2000-09-20,2.9224571231984497,2.989569917259374,2.916355960102002,2.940760612487793,6325200,0.0,0.0
2000-09-21,2.9468629360198975,2.9468629360198975,2.8431431225367954,2.8614466190338135,3255600,0.0,0.0
2000-09-22,2.8309409618377686,2.855345625301887,2.7333223079812936,2.8309409618377686,4007200,0.0,0.0
2000-09-25,2.824839559077204,2.9041547086841235,2.806536063014069,2.8736488819122314,3151600,0.0,0.0
2000-09-26,2.867545870161548,2.9773667758273095,2.855343547309797,2.9590632915496826,1533600,0.0,0.0
2000-09-27,3.0017734255109514,3.0139757565089633,2.9346606050218855,2.9468629360198975,4248800,0.0,0.0
2000-09-28,2.959064165751139,2.965165328979492,2.9041536966959636,2.928558349609375,4384800,0.0,0.0
2000-09-29,2.9285585558092273,2.934659719467163,2.9163562284933557,2.934659719467163,2407600,0.0,0.0
2000-10-02,2.934659449391345,2.9651652648735833,2.9224571231984497,2.940760612487793,3382400,0.0,0.0
2000-10-03,2.965164452975558,2.971265614401434,2.9285574844203044,2.9590632915496826,2693600,0.0,0.0
2000-10-04,2.9468609686979312,2.971265614401434,2.922456322994429,2.9590632915496826,1054000,0.0,0.0
2000-10-05,2.959063706701541,2.971266031265259,2.9285578952922466,2.971266031265259,4484000,0.0,0.0
2000-10-06,2.971266378374661,2.971266378374661,2.867546607466305,2.90415358543396,2583600,0.0,0.0
2000-10-09,2.8980525334676104,2.928558349609375,2.8553443908691403,2.928558349609375,1610800,0.0,0.0
2000-10-10,2.9163574087815203,3.0139760668160482,2.9102562426543623,2.9773690700531006,4442000,0.0,0.0
2000-10-11,2.9895714023074165,3.0383807313246805,2.9590655716716263,2.9773690700531006,4415200,0.0,0.0
2000-10-12,3.0017721086213536,3.203110481760591,2.9895697829765515,3.105491876602173,5707200,0.0,0.0
2000-10-13,3.026177916863952,3.081088403258661,2.9895709259341463,3.0200767517089844,2770000,0.0,0.0
2000-10-16,2.9956711451212565,2.9956711451212565,2.9102548599243163,2.928558349609375,2358000,0.0,0.0
2000-10-17,2.928558349609375,2.928558349609375,2.8187374114990233,2.837040901184082,2868000,0.0,0.0
2000-10-18,2.769928182439601,2.867546796798706,2.733321202054937,2.867546796798706,9335600,0.0,0.0
2000-10-19,2.8736477704609142,2.9224570744177876,2.8553442814770866,2.90415358543396,4136000,0.0,0.0
2000-10-20,2.8858506587441903,2.891951822927582,2.8187378527268834,2.843142509460449,3190000,0.0,0.0
2000-10-23,2.800434231225933,2.8187377229332924,2.727220264396497,2.73332142829895,2953200,0.0,0.0
2000-10-24,2.708915836281246,2.7272193216615253,2.592993762206148,2.635701894760132,6871200,0.0,0.0
2000-10-25,2.5563883101855205,2.623501129784663,2.538084813931209,2.5685906410217285,4284000,0.0,0.0
2000-10-26,2.5441853473229066,2.7455237561038563,2.5441853473229066,2.73332142829895,4966400,0.0,0.0
2000-10-27,2.739422871152735,2.7943333518662645,2.7211193775815588,2.7699286937713623,5050400,0.0,0.0
2000-10-30,2.72111918511598,2.861445959236311,2.7150180210237917,2.806535482406616,2144800,0.0,0.0
2000-10-31,2.873647880554199,2.8797490437825517,2.8187374114990233,2.837040901184082,2072400,0.0,0.0
2000-11-01,2.8065351628242654,2.8919514503884822,2.8065351628242654,2.867546796798706,2196400,0.0,0.0
2000-11-02,2.867546717325846,2.916356023152669,2.837040901184082,2.837040901184082,613200,0.0,0.0
2000-11-03,2.794332694163365,2.8309396726895226,2.7455233894618214,2.757725715637207,2234400,0.0,0.0
2000-11-06,2.7577260307462264,2.824838832379431,2.7516248669613894,2.78823184967041,898800,0.0,0.0
2000-11-07,2.7577257792154946,2.8553443908691403,2.745523452758789,2.837040901184082,1193200,0.0,0.0
2000-11-08,2.873647929806458,2.873647929806458,2.782130479812622,2.782130479812622,2472400,0.0,0.0
2000-11-09,2.763827247811215,2.7821307395185744,2.708916772689138,2.73332142829895,3443200,0.0,0.0
2000-11-10,2.7150175888259134,2.769928056914527,2.702815262583999,2.708916425704956,2756000,0.0,0.0
2000-11-13,2.672310288320452,2.7455242688223818,2.672310288320452,2.7272207736968994,3948400,0.0,0.0
2000-11-14,2.7638268787249003,2.794332694163365,2.751624552549514,2.757725715637207,2870400,0.0,0.0
2000-11-15,2.769928898654141,2.7821312286041593,2.7333219088040863,2.7760300636291504,1294400,0.0,0.0
2000-11-16,2.757725855644713,2.867546796798706,2.757725855644713,2.867546796798706,2372000,0.0,0.0
2000-11-17,2.8065354724067197,2.867547113111214,2.7455238317022257,2.763827323913574,2003600,0.0,0.0
2000-11-20,2.7577259038896207,2.812636375427246,2.739422413377079,2.812636375427246,1155200,0.0,0.0
2000-11-21,2.7882316726319334,2.885850286991038,2.7821305092344892,2.867546796798706,2858000,0.0,0.0
2000-11-22,2.8248389746831815,2.8553447951441226,2.8004343183144282,2.806535482406616,3782000,0.0,0.0
2000-11-24,2.7028153260908514,2.733321142412419,2.654006019976344,2.696714162826538,1526400,0.0,0.0
2000-11-27,2.6723096559214037,2.702815473911374,2.5868933655494866,2.623500347137451,4482800,0.0,0.0
2000-11-28,2.6174000333732286,2.635703530110104,2.580793039899477,2.5990965366363525,3495600,0.0,0.0
2000-11-29,2.6112986620734717,2.6112986620734717,2.5746916714836567,2.5929951667785645,3479600,0.0,0.0
2000-11-30,2.556387651313856,2.586893470541945,2.495376012857678,2.5136795043945312,5722000,0.0,0.0
2000-12-01,2.458769366145134,2.562489165709569,2.458769366145134,2.5380845069885254,2557600,0.0,0.0
2000-12-04,2.489275490028271,2.5319836479454225,2.464870828361327,2.5258824825286865,1984400,0.0,0.0
2000-12-05,2.562488967208501,2.605197116661976,2.5563878030008618,2.5746912956237793,2255600,0.0,0.0
2000-12-06,2.5502860074178115,2.5502860074178115,2.355048801108314,2.373352289199829,7922400,0.0,0.0
2000-12-07,2.385554932700801,2.409959586743776,2.3550491151470823,2.4038584232330322,3490400,0.0,0.0
2000-12-08,2.4343637267245524,2.446566051169287,2.391655591167981,2.409959077835083,8711600,0.0,0.0
2000-12-11,2.4648695378363885,2.4648695378363885,2.367250942278512,2.409959077835083,3858400,0.0,0.0
2000-12-12,2.4160599121680626,2.4160599121680626,2.3672506210131523,2.37945294380188,3153200,0.0,0.0
2000-12-13,2.3916558460216617,2.4953756148542334,2.3916558460216617,2.452667474746704,5368400,0.0,0.0
2000-12-14,2.5380832845930286,2.556386769818459,2.507577475883978,2.544184446334839,5382400,0.0,0.0
2000-12-15,2.5685899790050915,2.5685899790050915,2.440465538247118,2.5136795043945312,2762000,0.0,0.0
2000-12-18,2.53808419257765,2.53808419257765,2.4831737172574604,2.5075783729553223,1403600,0.0,0.0
