Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,-93.5819320678711,-107.61921427611985,-93.5819320678711,-93.5819320678711,5400.0,0.0,0.0
1980-03-18,-98.26098648052309,-107.61917877197266,-98.26098648052309,-107.61917877197266,6300.0,0.0,0.0
1980-03-19,-112.2983068200406,-121.65650177001953,-112.2983068200406,-121.65650177001953,3200.0,0.0,0.0
1980-03-20,-121.65648527402239,-135.69376493570525,-121.65648527402239,-131.01467895507812,10800.0,0.0,0.0
1980-03-21,-131.01470728847013,-135.693794281002,-126.33560943603516,-126.33560943603516,6100.0,0.0,0.0
1980-03-24,-121.65648795463997,-121.65648795463997,-112.29829406738281,-112.29829406738281,8900.0,0.0,0.0
1980-03-25,-112.29827491769746,-116.97737106342224,-107.61917877197266,-107.61917877197266,7400.0,0.0,0.0
1980-03-26,-107.61917877197266,-112.29827491769746,-107.61917877197266,-107.61917877197266,600.0,0.0,0.0
1980-03-27,-107.61919712375425,-116.97739101101139,-107.61919712375425,-112.29829406738281,5400.0,0.0,0.0
1980-03-28,-112.29828971243694,-121.65648323678182,-112.29828971243694,-116.97738647460938,4100.0,0.0,0.0
1980-03-31,-116.97739101101139,-116.97739101101139,-107.61919712375425,-112.29829406738281,4300.0,0.0,0.0
1980-04-01,-112.29829406738281,-116.97739101101139,-112.29829406738281,-112.29829406738281,2700.0,0.0,0.0
1980-04-02,-112.29828971243694,-116.97738647460938,-112.29828971243694,-116.97738647460938,2100.0,0.0,0.0
1980-04-03,-112.29829406738281,-112.29829406738281,-112.29829406738281,-112.29829406738281,600.0,0.0,0.0
1980-04-07,-112.29829406738281,-112.29829406738281,-107.61919712375425,-112.29829406738281,400.0,0.0,0.0
1980-04-08,-112.29829406738281,-112.29829406738281,-112.29829406738281,-112.29829406738281,1100.0,0.0,0.0
1980-04-09,-112.29828971243694,-121.65648323678182,-112.29828971243694,-116.97738647460938,2500.0,0.0,0.0
1980-04-10,-121.65650177001953,-126.335599245009,-121.65650177001953,-121.65650177001953,8000.0,0.0,0.0
1980-04-11,-121.65651158360018,-126.33560943603516,-121.65651158360018,-126.33560943603516,7100.0,0.0,0.0
1980-04-14,-126.33560943603516,-131.01470728847013,-126.33560943603516,-126.33560943603516,9400.0,0.0,0.0
1980-04-15,-126.33560943603516,-131.01470728847013,-126.33560943603516,-126.33560943603516,8200.0,0.0,0.0
1980-04-16,-126.33560943603516,-131.01470728847013,-126.33560943603516,-126.33560943603516,1500.0,0.0,0.0
1980-04-17,-121.65650177001953,-121.65650177001953,-121.65650177001953,-121.65650177001953,3100.0,0.0,0.0
1980-04-18,-126.33560943603516,-126.33560943603516,-126.33560943603516,-126.33560943603516,6100.0,0.0,0.0
1980-04-21,-126.33560943603516,-126.33560943603516,-126.33560943603516,-126.33560943603516,5200.0,0.0,0.0
1980-04-22,-126.33560943603516,-126.33560943603516,-126.33560943603516,-126.33560943603516,0.0,0.0,0.0
1980-04-23,-131.01469989269611,-135.69378662109375,-131.01469989269611,-135.69378662109375,3100.0,0.0,0.0
1980-04-24,-135.69378662109375,-135.69378662109375,-131.01469989269611,-135.69378662109375,700.0,0.0,0.0
1980-04-25,-135.69378662109375,-135.69378662109375,-131.01469989269611,-135.69378662109375,1000.0,0.0,0.0
1980-04-28,-131.01467895507812,-131.01467895507812,-131.01467895507812,-131.01467895507812,100.0,0.0,0.0
1980-04-29,-131.01469989269611,-135.69378662109375,-131.01469989269611,-135.69378662109375,1500.0,0.0,0.0
1980-04-30,-135.69378662109375,-135.69378662109375,-135.69378662109375,-135.69378662109375,0.0,0.0,0.0
