,0
symbol,AAP
price,153.06
beta,1.40809
volAvg,818066
mktCap,10385809400
lastDiv,1.06
range,71.33-170.5
changes,-3.46
companyName,Advance Auto Parts Inc
currency,USD
cik,0001158449
isin,US00751Y1064
cusip,00751Y106
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Specialty Retail
website,https://shop.advanceautoparts.com/
description,"Advance Auto Parts, Inc. engages in the supply and distribution of aftermarket automotive products for both professional installers and do-it-yourself customers. The company is headquartered in Raleigh, North Carolina and currently employs 40,000 full-time employees. The firm's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. The company serves through various channels ranging from traditional brick and mortar store locations to self-serving e-commerce sites. As of December 31, 2016, it operated 5,062 total stores and 127 branches primarily under the trade names Advance Auto Parts, Autopart International, Carquest and Worldpac. As of December 31, 2016, its Advance Auto Parts operations consisted of three geographic divisions, which included the operations of the stores operating under the Advance Auto Parts, Carquest and Autopart International trade names."
ceo,Mr. Thomas Greco
sector,Consumer Cyclical
country,US
fullTimeEmployees,39000
phone,15403624911
address,2635 E Millbrook Rd
city,Raleigh
state,NORTH CAROLINA
zip,27604
dcfDiff,
dcf,160.263
image,https://financialmodelingprep.com/image-stock/AAP.png
ipoDate,2001-11-29
defaultImage,False
