,0
symbol,ACLS
price,25.34
beta,1.38147
volAvg,297790
mktCap,848788670
lastDiv,0.0
range,12.99-31.5
changes,0.22
companyName,Axcelis Technologies Inc
currency,USD
cik,0001113232
isin,US0545402085
cusip,054540208
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Semiconductor Equipment & Materials
website,http://www.axcelis.com
description,"Axcelis Technologies, Inc. engages in the design, manufacture and service of dry strip, ion implantation and other processing equipment used in the fabrication of semiconductor chips. The company is headquartered in Beverly, Massachusetts and currently employs 992 full-time employees. The firm also provides aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services and customer training. The firm offers a complete line of high energy, high current and medium current implanters for all application requirements. The firm's Purion XE high energy system combines its radio frequency (RF) Linac high energy, spot beam technology with the Purion platform. The firm also offers the Purion M medium current system. The firm's Purion M systems also offer differentiation for specialty applications, such as hot silicon carbide. The firm's Purion H high current system is extendable into ultra-low energy applications to satisfy future process requirements, including leakage current performance."
ceo,Ms. Mary Puma
sector,Technology
country,US
fullTimeEmployees,960
phone,19787874000
address,108 Cherry Hill Dr
city,Beverly
state,MASSACHUSETTS
zip,01915
dcfDiff,-35.66
dcf,27.1851
image,https://financialmodelingprep.com/image-stock/ACLS.png
ipoDate,2000-07-11
defaultImage,False
