,0
symbol,AEM
price,74.55
beta,1.07348
volAvg,1171823
mktCap,18134511600
lastDiv,0.9000000000000001
range,31.0-89.23
changes,1.52
companyName,Agnico Eagle Mines Ltd
currency,USD
cik,0000002809
isin,CA0084741085
cusip,008474108
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Gold
website,https://www.agnicoeagle.com/
description,"Agnico Eagle Mines Ltd. engages in the exploration and production of gold. The company is headquartered in Toronto, Ontario and currently employs 5,990 full-time employees. The company operates through the business units: Northern Business, which consists of its operations in Canada and Finland, such as the LaRonde mine, the Lapa mine, the Goldex mine, the Meadowbank mine, the Meliadine project and the Malartic Mine in Canada, as well as the Kittila mine in Finland; Southern Business, which consists of its operations in Mexico, such as the Pinos Altos mine that includes the Creston Mascota deposit and the La India mine owned by its indirect subsidiary, as well as Exploration Group, which focuses on the identification of new mineral reserves and mineral resources, and new development opportunities in gold producing regions. Its exploration activities are concentrated in Canada, Europe, Latin America and the United States."
ceo,Mr. Sean Boyd
sector,Basic Materials
country,CA
fullTimeEmployees,6193
phone,14169471212
address,145 King St E Suite 400
city,TORONTO
state,ONTARIO
zip,M5C 2Y7
dcfDiff,
dcf,83.0432
image,https://financialmodelingprep.com/image-stock/AEM.png
ipoDate,1980-03-17
defaultImage,False
