,0
symbol,AMHC
price,9.86
beta,0.0
volAvg,20392
mktCap,123249992
lastDiv,0.0
range,9.45-10.25
changes,0.0
companyName,Amplitude Healthcare Acquisition Corp
currency,USD
cik,0001788028
isin,US03212A1051
cusip,03212A105
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Shell Companies
website,
description,"Amplitude Healthcare Acquisition Corp is a blank check company. The Company is formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The Company has not selected any specific business combination target, and is focused on pursuing an acquisition opportunity in any business, industry sector or geographical location. It intends to acquire a business focused on the healthcare or healthcare related industries in the United States and Europe. The Company is not engaged in any business operations and has not generated any revenue."
ceo,Mr. Balaji Venkataraman
sector,Financial Services
country,US
fullTimeEmployees,3
phone,12128231900
address,1177 Avenue of the Americas Fl 40
city,New York City
state,NEW YORK
zip,10036
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/AMHC.jpg
ipoDate,2019-11-20
defaultImage,True
