,0
symbol,APPF
price,144.915
beta,1.22812
volAvg,128675
mktCap,4974670800
lastDiv,0.0
range,81.01-180.56
changes,-4.945
companyName,AppFolio Inc
currency,USD
cik,0001433195
isin,US03783C1009
cusip,03783C100
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Software Application
website,https://www.appfolio.com/
description,"AppFolio, Inc. engages in the provision of cloud-based software solutions. The company is headquartered in Goleta, California and currently employs 916 full-time employees. The firm's mobile-optimized software solutions enable its customers to work at any time and from anywhere across multiple devices. Its property management software provides small and medium-sized property managers with an end-to-end solution to their business needs. The firm's legal software provides solo practitioners and small law firms with a streamlined practice and case management solution, allowing them to manage their practices and case load. The company also offers Value+ services, such as its professionally designed Websites and electronic payment services. The firm's property manager customers include third-party managers and owner-operators, managing single- and multi-family residences, commercial property and student housing, as well as mixed real estate portfolios."
ceo,Mr. Jason Randall
sector,Technology
country,US
fullTimeEmployees,1240
phone,18053646093
address,50 Castilian Dr
city,Goleta
state,CALIFORNIA
zip,93117
dcfDiff,-73.23
dcf,157.875
image,https://financialmodelingprep.com/image-stock/APPF.png
ipoDate,2015-06-26
defaultImage,False
