,0
symbol,APWC
price,1.32
beta,0.76669
volAvg,564232
mktCap,18242004
lastDiv,0.0
range,0.89-2.69
changes,-0.06
companyName,Asia Pacific Wire & Cable Corporation Ltd
currency,USD
cik,0001026980
isin,BMG0535E1066
cusip,G0535E106
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Electrical Equipment & Parts
website,http://www.apwcc.com/
description,"Asia Pacific Wire & Cable Corp. engages in the manufacture and distribution of telecommunications, power cable, and wire products. The company is headquartered in Taipei, Taipei and currently employs 1,412 full-time employees. The firm is engaged in the manufacture and distribution of telecommunications (primarily copper, but also fiber optic) and power cable, enameled wire and electronic wire products in the Asia Pacific region, primarily in Thailand, China, Singapore and Australia. Its segments include North Asia region, the Thailand region and the Rest of the World (ROW) region. The company manufactures and distributes its own wire and cable products (Manufactured Products), and also distributes wire and cable products (Distributed Products) manufactured by its principal shareholder, Pacific Electric Wire & Cable Co., Ltd., and other third-party suppliers. The firm also provides project engineering services in the supply, delivery and installation of power cables to certain of its customers."
ceo, Chun Tang Yuan
sector,Industrials
country,TW
fullTimeEmployees,1227
phone,886227122558
address,"Room B 7/Fl., No. 132, Sec. 3, Min-Sheng East Road"
city,Taipei City
state,TAIPEI
zip,106
dcfDiff,
dcf,5.99793
image,https://financialmodelingprep.com/image-stock/APWC.png
ipoDate,2011-04-29
defaultImage,False
