,0
symbol,ARC
price,1.39
beta,1.76363
volAvg,213733
mktCap,60969568
lastDiv,0.02
range,0.34-1.6
changes,0.06
companyName,ARC Document Solutions Inc
currency,USD
cik,0001305168
isin,US00191G1031
cusip,00191G103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Specialty Business Services
website,https://www.e-arc.com/
description,"ARC Document Solutions, Inc. engages in the provision of document solutions to design, engineering, construction, and facilities management professionals. The company is headquartered in San Ramon, California and currently employs 2,400 full-time employees. The firm also provides document solutions to businesses of various types. ARC's offerings include managed print services (MPS), offsite services, archive and information management (AIM), specialized color printing, Web-based document management applications, digital shipping/managed file transfer, and equipment and supplies sales. MPS is an onsite service where it installs a complete document solution platform in its customers' offices and project sites. Its Offsite Services offering operates over 180 offsite service centers. AIM enables its customers to store information and intellectual property in a cloud-based and searchable digital archive. The Specialized Color Printing offering is focused on color printing, finishing and assembly of graphic materials. Its Web-Based Document Management Applications develop and offer tools to its customers."
ceo,Mr. Kumarakulasingam Suriyakumar
sector,Industrials
country,US
fullTimeEmployees,2300
phone,19259495126
address,12657 Alcosta Blvd Ste 200
city,San Ramon
state,CALIFORNIA
zip,94583
dcfDiff,
dcf,1.83268
image,https://financialmodelingprep.com/image-stock/ARC.png
ipoDate,2005-02-04
defaultImage,False
