,0
symbol,ARNC
price,27.2
beta,0.0
volAvg,744036
mktCap,2967166460
lastDiv,0.02
range,5.8-29.0
changes,-0.73
companyName,Arconic Corp (PITTSBURGH)
currency,USD
cik,0001790982
isin,US03966V1070
cusip,03966V107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Specialty Industrial Machinery
website,https://www.arconic.com/
description,"Arconic Corp is engaged in manufacturing aluminum sheet, plate, extrusions and architectural products. The Company operates through three segments: Rolled Products, Extrusions, and Building and Construction Systems (BCS). It serves the ground transportation, aerospace, building and construction, industrial, and packaging end-markets. Rolled Products segment produces a range of aluminum sheet and plate products. Extrusions segment produces a range of extruded products, including aerospace shapes, such as wing stringer, floor beams, fuselage, cargo; automotive shapes, such as driveshafts, anti-lock brake housings, turbo charger; seamless tube, hollows, mortar fins and high strength rod and bar. BCS business manufactures differentiated products and building envelope solutions, including entrances, curtain walls, windows, composite panel and coil coated sheet."
ceo,Mr. John Plant
sector,Industrials
country,US
fullTimeEmployees,15400
phone,14129922500
address,201 Isabella Street
city,Pittsburgh
state,PENNSYLVANIA
zip,15212-5872
dcfDiff,-2.81
dcf,26.8694
image,https://financialmodelingprep.com/image-stock/ARNC.png
ipoDate,2020-04-01
defaultImage,False
