,0
symbol,ASGN
price,77.46
beta,2.3264
volAvg,220767
mktCap,4097634050
lastDiv,0.0
range,29.04-84.36
changes,-2.57
companyName,ASGN Inc
currency,USD
cik,0000890564
isin,US00191U1025
cusip,00191U102
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Staffing & Employment Services
website,https://www.asgn.com/
description,"ASGN, Inc. engages in the business of information technology (IT) and professional services in the technology, digital, creative, engineering and life sciences fields across commercial and government sectors. The company is headquartered in Calabasas, California and currently employs 4,300 full-time employees. Its operating segments include Apex, Oxford, and ECS segments. The Apex Segment provides technical, scientific, digital and creative services and solutions to Fortune 1000 and mid-market clients across the United States and Canada. The Oxford Segment provides hard to find technical, digital, engineering and Life Sciences services and solutions in select skill and geographic markets. The ECS Segment delivers advanced solutions in cloud, cyber security, artificial intelligence, machine learning, software development, IT modernization, and science and engineering and is primarily focused on Federal Government activities."
ceo,Mr. Theodore Hanson
sector,Industrials
country,US
fullTimeEmployees,4300
phone,18188787900
address,26745 Malibu Hills Road
city,Calabasas
state,CALIFORNIA
zip,23060
dcfDiff,
dcf,70.3128
image,https://financialmodelingprep.com/image-stock/ASGN.png
ipoDate,2012-08-31
defaultImage,False
