,0
symbol,ATEX
price,32.6
beta,0.5565
volAvg,114590
mktCap,563859330
lastDiv,0.0
range,29.38-57.75
changes,0.27
companyName,Anterix Inc
currency,USD
cik,0001304492
isin,US03676C1009
cusip,03676C100
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Telecom Services
website,https://www.pdvwireless.com/
description,"Anterix, Inc., doing business as Anterix, is a wireless communications company, which engages in the spectrum assets to enable targeted critical infrastructure and enterprise customers to deploy private broadband networks, technologies, and solutions. The company is headquartered in Woodland Park, New Jersey and currently employs 58 full-time employees. The firm is focused on developing and commercializing its spectrum assets to enable its infrastructure and enterprise customers to deploy private broadband networks, technologies and solutions. The company holds licensed spectrum in the 900 megahertz (MHz) band across the United States, and Hawaii, Alaska and Puerto Rico. The firm holds approximately 60% of channels in the 900 MHz band across 20 metropolitan market areas in the United States. The company provides broadband spectrum assets to infrastructure and enterprise customers. The company enables utility communications through Private Long-Term Evolution (LTE)."
ceo,Mr. Morgan O'Brien
sector,Communication Services
country,US
fullTimeEmployees,59
phone,19737710300
address,3 Garret Mountain Plz Ste 401
city,Woodland Park
state,NEW JERSEY
zip,07424
dcfDiff,
dcf,42.0003
image,https://financialmodelingprep.com/image-stock/ATEX.png
ipoDate,2015-02-03
defaultImage,False
