,0
symbol,ATRC
price,38.99
beta,0.86432
volAvg,348196
mktCap,1755454590
lastDiv,0.0
range,23.17-51.76
changes,0.15
companyName,AtriCure Inc
currency,USD
cik,0001323885
isin,US04963C2098
cusip,04963C209
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Medical Instruments & Supplies
website,https://www.atricure.com
description,"AtriCure, Inc. engages development, manufacture and sale of devices designed primarily for the surgical ablation of cardiac tissue, and systems for the exclusion of the left atrial appendage. The company is headquartered in Mason, Ohio and currently employs 620 full-time employees. The firm develops, manufactures, and sells devices designed primarily for the surgical ablation of cardiac tissue and systems designed for the exclusion of the left atrial appendage. The company has various product lines for the ablation of cardiac tissue, including its Isolator Synergy Ablation System, for the treatment of persistent and longstanding persistent forms of Afib in patients undergoing certain open concomitant procedures. The company has two primary product lines for cardiac tissue ablation, which include Radio Frequency Ablation Devices and cryoICE Cryoablation System, and a product line for left atrial appendage exclusion. The firm also sells Lumitip dissectors and the Estech line of reusable cardiac surgery (valve) instruments. Its cryoICE cryosurgery product line offers various cryoablation devices. Its AtriClip Left Atrial Appendage Exclusion System is designed to occlude the heart's left atrial appendage (LAA)."
ceo,Mr. Michael Carrel
sector,Healthcare
country,US
fullTimeEmployees,730
phone,15137554100
address,7555 Innovation Way
city,Mason
state,OHIO
zip,45040
dcfDiff,-312.77
dcf,38.7277
image,https://financialmodelingprep.com/image-stock/ATRC.png
ipoDate,2005-08-05
defaultImage,False
