,0
symbol,AUBN
price,37.16
beta,0.59453
volAvg,3032
mktCap,132522968
lastDiv,1.0150000000000001
range,22.51-65.55
changes,-1.9
companyName,Auburn National Bancorporation Inc
currency,USD
cik,0000750574
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.auburnbank.com
description,"Auburn National Bancorporation, Inc. is a bank holding company. The company is headquartered in Auburn, Alabama and currently employs 158 full-time employees. The firm operates through its subsidiary AuburnBank (the Bank), which is a commercial bank located in Auburn, Alabama. The Bank provides a range of banking services in its primary market area, Lee County, which includes the Auburn-Opelika Metropolitan Statistical Area. The Bank offers various services, such as personal banking services, including personal checking services, personal savings services, and certificates of deposit (CDs) and individual retirement account (IRA), and business banking services, such as business services and savings. The Bank provides automated teller services in East Alabama and operates automated teller machines (ATMs) in over 10 locations in its primary service area. The Bank offers online banking and bill payment services through its Internet Website, www.auburnbank.com. The company also offers a range of loan products, which include residential real estate loans and consumer installment loans."
ceo,Mr. Robert Dumas
sector,Financial Services
country,US
fullTimeEmployees,163
phone,13348219200
address,100 N Gay St
city,Auburn
state,ALABAMA
zip,36830
dcfDiff,-36.5
dcf,0.0
image,https://financialmodelingprep.com/image-stock/AUBN.jpg
ipoDate,1995-07-20
defaultImage,True
