,0
symbol,AVK
price,14.69
beta,1.23481
volAvg,123370
mktCap,507175168
lastDiv,1.5210000000000001
range,7.61-16.18
changes,-0.0428
companyName,Advent Convertible and Income Fund
currency,
cik,
isin,US00764C1099
cusip,00764C109
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://www.guggenheiminvestments.com
description,"Advent Convertible and Income Fund, formerly Advent Claymore Convertible Securities and Income Fund, is a diversified, closed-end management investment company. The Fund's investment objective is to provide total return through a combination of capital appreciation and current income. Under normal market conditions, the Fund invests approximately 80% of its managed assets in a diversified portfolio of convertible securities and non-convertible income securities. Under normal market conditions, the Fund will invest approximately 30% of its managed assets in convertible securities and may invest up to 70% of its managed assets in non-convertible income securities. The Fund invests in various sectors, such as communications, utilities, energy, industrial, technology, financial and basic materials. The investment advisor of the Fund is Advent Capital Management, LLC, which specializes in convertible and high-yield securities for institutional and individual investors."
ceo,Mr. Tracy Maitland
sector,Financial Services
country,US
fullTimeEmployees,
phone,13128270100
address,227 W Monroe St
city,Chicago
state,ILLINOIS
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/AVK.png
ipoDate,2003-04-30
defaultImage,False
