,0
symbol,BCV
price,26.29
beta,0.98838
volAvg,20784
mktCap,140730896
lastDiv,1.8399999999999999
range,14.27-27.73
changes,-0.01
companyName,Bancroft Fund Ltd
currency,USD
cik,
isin,
cusip,
exchange,NYSE American
exchangeShortName,AMEX
industry,Asset Management
website,http://www.bancroftfund.com
description,"Bancroft Fund Ltd. (the Fund) is a diversified closed-end management investment company. The Fund's primary investment objective is to provide income and the potential for capital appreciation, which objectives the Fund considers to be relatively equal over the long term due to the nature of the securities in which it invests. The Fund invests primarily in convertible and equity securities. The Fund's investment portfolio includes convertible corporate bonds, convertible preferred stocks, mandatory convertible securities and common stocks. It invests in various industries, such as healthcare, computer software and services, financial services, energy and utilities, semiconductors, real estate investment trusts, communications equipment, telecommunications, business services, consumer services, cable and satellite, food and beverage, agriculture, automotive, metals and mining, entertainment and consumer products. Gabelli Funds, LLC serves as the investment advisor of the Fund."
ceo,Mr. Mario Gabelli
sector,Financial Services
country,US
fullTimeEmployees,
phone,19736311177
address,65 Madison Ave Ste 550
city,Morristown
state,NEW JERSEY
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BCV.jpg
ipoDate,1980-03-17
defaultImage,True
