,0
symbol,BCYC
price,20.78
beta,0.0
volAvg,78606
mktCap,442713760
lastDiv,0.0
range,7.5-21.59
changes,1.95
companyName,Bicycle Therapeutics PLC
currency,USD
cik,0001761612
isin,US0887861088
cusip,088786108
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Biotechnology
website,https://www.bicycletherapeutics.com/
description,"Bicycle Therapeutics Plc is a holding company, which engages in the development of biopharmaceuticals. The company is headquartered in Cambridge, Cambridgeshire and currently employs 61 full-time employees. The firm is focused on developing a class of medicines for diseases. The Company’s lead product candidate, BT1718, is a Bicycle Toxin Conjugate (BTC) for oncology indications. BT1718 targets tumors that express Membrane Type 1 matrix metalloprotease (MT1-MMP). The firm is also developing BT5528 and BT8009, which are BTCs targeting Ephrin type-A receptor 2 (EphA2), and Nectin-4, for oncology indications. The firm is also developing cytotoxic T-cell activators, designed to trigger an immune response to tumors."
ceo,"Dr. Kevin Lee M.B.A., Ph.D."
sector,Healthcare
country,GB
fullTimeEmployees,72
phone,11441223261503
address,Babraham Hall
city,Cambridge
state,CAMBRIDGESHIRE
zip,CB22 3AT
dcfDiff,
dcf,27.2799
image,https://financialmodelingprep.com/image-stock/BCYC.png
ipoDate,2019-05-23
defaultImage,False
