,0
symbol,BDJ
price,7.69
beta,1.05152
volAvg,641203
mktCap,1442198020
lastDiv,0.771
range,4.65-9.97
changes,-0.07
companyName,Blackrock Enhanced Equity Dividend Trust
currency,USD
cik,
isin,US09251A1043
cusip,09251A104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackrock.com/investing/products/240225/blackrock-enhanced-equity-dividend-trust-usd-fun
description,"BlackRock Enhanced Equity Dividend Trust (the Trust) is a diversified, closed-end management investment company. The Trust's primary investment objective is to provide current income and current gains, with a secondary investment objective of long-term capital appreciation. It seeks to achieve its investment objectives by investing in common stocks that pay dividends and have the potential for capital appreciation and by utilizing an option writing (selling) strategy to seek total return performance and enhance distributions. It invests, under normal market conditions, at least 80% of its total assets in dividend paying equities. It may invest directly in such securities or synthetically through the use of derivatives. It invests in sectors, such as financials, healthcare, energy, industrials, information technology, consumer staples, consumer discretionary, utilities, materials and telecommunication services. The Fund's investment advisor and manger is BlackRock Advisors, LLC."
ceo,Mr. John Perlowski
sector,Financial Services
country,US
fullTimeEmployees,0
phone,18888252257
address,100 Bellevue Pkwy
city,Wilmington
state,DELAWARE
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BDJ.png
ipoDate,2005-08-26
defaultImage,False
