,0
symbol,BECN
price,35.78
beta,1.99049
volAvg,492286
mktCap,2478752510
lastDiv,0.0
range,11.67-38.35
changes,-0.41
companyName,Beacon Roofing Supply Inc
currency,USD
cik,0001124941
isin,US0736851090
cusip,073685109
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Building Products & Equipment
website,http://www.beaconroofingsupply.com
description,"Beacon Roofing Supply, Inc. engages in the distribution of residential and non-residential roofing materials. The company is headquartered in Herndon, Virginia and currently employs 8,147 full-time employees. The company also distributes complementary building products for residential and non-residential building exteriors. Its product portfolio includes residential roofing products, non-residential roofing products and complementary building products. The residential roofing products include asphalt shingles, clay tile, slate and metal roofing, among others. The non-residential roofing products include single-ply roofing, asphalt, metal, modified bitumen and build-up roofing, among others. The complementary building products include vinyl siding, fiber cement siding, stone veneer and windows, among others. The firm offers its products under various trade names, including Alabama Roofing Supply, Atlantic Building Products, Applicators Sales, Southern Roof Center, Statewide Wholesale, Structural Materials and The Roof Center."
ceo,Mr. Julian Francis
sector,Industrials
country,US
fullTimeEmployees,8147
phone,15713233939
address,505 Huntmar Park Dr Ste 300
city,Herndon
state,VIRGINIA
zip,20170
dcfDiff,62.57
dcf,35.9865
image,https://financialmodelingprep.com/image-stock/BECN.png
ipoDate,2004-09-23
defaultImage,False
