,0
symbol,BGB
price,12.15
beta,0.71127
volAvg,156093
mktCap,542672450
lastDiv,1.1889999999999998
range,7.91-14.96
changes,-0.04
companyName,Blackstone / Gso Strategic Credit Fund
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://www.blackstone-gso.com/bgb-index.php
description,"Blackstone/GSO Strategic Credit Fund (the Fund) is a diversified, closed-end management investment company. The Fund's primary investment objective is to seek high current income, with a secondary objective to seek preservation of capital, consistent with its primary goal of high current income. The Fund invests primarily in a diversified portfolio or loans and other fixed income instruments, including first- and second-lien loans and high yield corporate bonds of varying maturities. It must hold no less than 80% of its managed assets in credit investments consisting of corporate fixed income instruments and other investments (including derivatives) with similar economic characteristics. The Fund invests in various sectors, including healthcare and pharmaceuticals; services business; construction and building; banking, finance, insurance and real estate, and high tech industries. GSO / Blackstone Debt Funds Management LLC serves as an investment advisor for the Fund."
ceo,Mr. Daniel Smith
sector,Financial Services
country,US
fullTimeEmployees,
phone,12125032100
address,345 Park Ave Fl 31
city,New York City
state,NEW YORK
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BGB.jpg
ipoDate,2012-09-26
defaultImage,True
