,0
symbol,BGT
price,11.65
beta,0.66101
volAvg,61196
mktCap,263303968
lastDiv,0.9123999999999998
range,7.2-13.3
changes,0.0
companyName,BlackRock Floating Rate Income Trust
currency,
cik,
isin,US0919411043
cusip,091941104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackrock.com/investing/products/240195/blackrock-floating-rate-income-trust-usd-fund
description,"BlackRock Floating Rate Income Trust (the Trust) is a non-diversified, closed-end management investment Company. The Trust's investment objective is to provide current income, current gains and capital appreciation. The Trust has investments in various sectors, such as oil, gas and consumable fuels; real estate investment trusts; auto components; automobiles; banks; aerospace and defense; air freight and logistics; beverages; airlines; biotechnology; building products; capital markets; chemicals; containers and packaging; communications equipment; diversified telecommunication services; electric utilities; food and staples retailing; food products; healthcare equipment and supplies; electronic equipment, instruments and components; industrial conglomerates; insurance; Internet software and services; household durables; media; household products; independent power and renewable electricity producers, and metals and mining. Its investment manager is BlackRock Advisors, LLC."
ceo,Mr. John Perlowski
sector,Financial Services
country,US
fullTimeEmployees,
phone,18008820052
address,100 Bellevue Pkwy
city,Wilmington
state,DELAWARE
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BGT.png
ipoDate,2004-08-26
defaultImage,False
