,0
symbol,BIOX
price,5.85
beta,0.0
volAvg,41106
mktCap,225081088
lastDiv,0.0
range,4.333-7.239
changes,0.0
companyName,Bioceres Crop Solutions Corp
currency,USD
cik,0001769484
isin,KYG1117K1141
cusip,G1117K114
exchange,NYSE American
exchangeShortName,AMEX
industry,Agricultural Inputs
website,http://unionacquisitioncorp.com/
description,"Bioceres Crop Solutions Corp. engages in the provision of crop productivity solutions. The company is headquartered in Rosario, Santa Fe. The Company’s solutions include seeds, seed traits, seed treatments, biologicals, adjuvants and fertilizers. Through its subsidiary Rizobacter, it operates through Brazil and Paraguay. Through the Rizobacter brand, it produces and sells soybean biologicals."
ceo,Mr. Federico Trucco
sector,Basic Materials
country,AR
fullTimeEmployees,
phone,543414861100
address,"Ocampo 210 bis, Predio CCT Rosario"
city,Rosario
state,SANTA FE
zip,2000
dcfDiff,
dcf,9.29771
image,https://financialmodelingprep.com/image-stock/BIOX.jpg
ipoDate,2018-02-28
defaultImage,True
