,0
symbol,BLRX
price,2.35
beta,0.946365
volAvg,4734593
mktCap,47149928
lastDiv,0.0
range,1.06-3.3
changes,-0.03
companyName,BioLineRx Ltd.
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.biolinerx.com
description,
ceo,Philip Serlin
sector,Healthcare
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,-0.45
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BLRX.jpg
ipoDate,
defaultImage,True
