,0
symbol,BLW
price,15.12
beta,0.64133
volAvg,108036
mktCap,540375170
lastDiv,1.1761
range,9.52-16.71
changes,-0.08
companyName,BlackRock Ltd Duration Income Trust
currency,USD
cik,
isin,US09249W1018
cusip,09249W101
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackrock.com/investing/products/240191/blackrock-limited-duration-income-trust-usd-fund
description,"BlackRock Limited Duration Income Trust is a diversified, closed-end management investment company. The Fund's investment objective is to provide current income and capital appreciation. It seeks to achieve its investment objective by investing in three asset classes, such as intermediate duration, investment grade corporate bonds, mortgage-related securities, asset-backed securities and the United States Government and agency securities; senior, secured floating rate loans made to corporate and other business entities, and the United States dollar-denominated securities of the United States and non-United States issuers rated below investment grade or unrated and deemed by the investment advisor to be of comparable quality and, to a limited extent, non-United States dollar denominated securities of non-United States issuers rated below investment grade or unrated and deemed by the investment advisor to be of comparable quality. Its investment advisor is BlackRock Advisors, LLC."
ceo,Mr. John Perlowski
sector,Financial Services
country,US
fullTimeEmployees,0
phone,1888825227
address,Mutual Fund Department
city,Wilmington
state,DELAWARE
zip,
dcfDiff,
dcf,25.3201
image,https://financialmodelingprep.com/image-stock/BLW.png
ipoDate,2003-07-29
defaultImage,False
