,0
symbol,BPMP
price,10.51
beta,0.550609
volAvg,240235
mktCap,1101227260
lastDiv,1.392
range,6.41-17.08
changes,-0.11
companyName,Bp Midstream Partners LP
currency,USD
cik,0001708301
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas Midstream
website,https://www.bp.com/en_us/midstream/bp-midstream-partners.html
description,"BP Midstream Partners LP engages in the operation, development, and acquisition of pipelines and other midstream assets. The company is headquartered in Houston, Texas and currently employs 0 full-time employees. The firm owns, operates, develops and acquires pipelines and other midstream assets. The company owns one onshore crude oil pipeline system, one onshore refined products pipeline system, one onshore diluent pipeline system, interests in four offshore crude oil pipeline systems and an interest in one offshore natural gas pipeline system. Its onshore crude oil, refined products and diluent pipelines include BP2 Pipeline, River Rouge Pipeline and Diamondback Pipeline. Its offshore crude oil and natural gas pipelines include Mars System, Caesar Pipeline, Cleopatra Pipeline, Proteus Pipeline and Endymion Pipeline."
ceo,Mr. Robert P. Zinsmeister
sector,Energy
country,US
fullTimeEmployees,0
phone,12813662000
address,501 Westlake Park Blvd
city,Houston
state,TEXAS
zip,77079
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BPMP.png
ipoDate,2017-10-26
defaultImage,False
