,0
symbol,BROG
price,8.88
beta,0.0
volAvg,4307
mktCap,973141440
lastDiv,0.25
range,7.36-13.98
changes,0.08
companyName,Brooge Holdings Ltd
currency,USD
cik,0001774983
isin,KYG1611B1077
cusip,G1611B107
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Oil & Gas Midstream
website,
description,"Brooge Energy Ltd. is a holding company, which is created for the purpose of effectuating the business combination with Twelve Seas Investment Company. The Company, through its subsidiary is engaged in the operation of independent oil refinery and storage. The company also offers services, including blending, heating, inter-tank transfer and throughput transfer. Brooge Petroleum and Gas Investment Company FZE is the subsidiary of the Company."
ceo,Mr. Nicolaas L. Paardenkooper
sector,Energy
country,GB
fullTimeEmployees,4
phone,442030962150
address,"A M F Building, 25-28 Old Burlington Street"
city,LONDON
state,
zip,
dcfDiff,
dcf,8.86561
image,https://financialmodelingprep.com/image-stock/BROG.jpg
ipoDate,2018-06-20
defaultImage,True
