,0
symbol,BSL
price,13.81
beta,0.68971
volAvg,57306
mktCap,202498800
lastDiv,1.162
range,8.65-16.45
changes,0.0
companyName,Blackstone / Gso Senior Floating Rate Term Fund
currency,DZD
cik,
isin,US09256U1051
cusip,09256U105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackstone.com/the-firm/asset-management/registered-funds
description,"Blackstone / GSO Senior Floating Rate Term Fund (the Fund) is a diversified, closed-end management investment company. The Fund's primary investment objective is to seek high current income, with a secondary objective to seek preservation of capital, consistent with its primary goal of high current income. The Fund invests primarily in a diversified portfolio or loans and other fixed income instruments, including first- and second-lien loans and high yield corporate bonds of varying maturities. Under normal market conditions, the Fund invests at least 80% of its Managed Assets in senior, secured floating rate loans (Senior Loans). The Fund invests in various sectors, including electronics/electric, business equipment and services, healthcare, building and development, and chemical & plastics. GSO / Blackstone Debt Funds Management LLC serves as an investment advisor for the Fund."
ceo,Mr. Daniel Smith
sector,Financial Services
country,US
fullTimeEmployees,
phone,12125032100
address,345 Park Ave
city,New York City
state,NEW YORK
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/BSL.png
ipoDate,2010-05-26
defaultImage,False
