,0
symbol,BWEN
price,3.34
beta,1.75265
volAvg,225573
mktCap,56571584
lastDiv,0.0
range,1.12-5.78
changes,0.0
companyName,Broadwind Inc
currency,USD
cik,0001120370
isin,US11161T2078
cusip,11161T207
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Specialty Industrial Machinery
website,http://www.bwen.com/
description,"Broadwind, Inc. is engaged in the manufacture of structures, equipment, and components for clean tech and other specialized applications. The company is headquartered in Cicero, Illinois and currently employs 425 full-time employees. The firm is engaged primarily in United States wind energy industry. The firm operates through two segments: Towers and Weldments, and Gearing. The firm's Towers and Weldments segment manufactures towers for wind turbines, specifically the large and heavier wind towers that are designed for multiple megawatt (MW) wind turbines. The firm's Gearing segment engineers, builds and remanufactures precision gears and gearing systems for oil and gas, wind energy, mining, steel and other industrial applications. Within the United States wind energy industry, it provides products and services to wind turbine manufacturers. The company also provides precision gearing and specialty weldments to a range of industrial customers for oil and gas, mining, steel and other industrial applications."
ceo,Ms. Stephanie Kushner
sector,Industrials
country,US
fullTimeEmployees,521
phone,17087804800
address,3240 S Central Ave
city,Cicero
state,ILLINOIS
zip,60804
dcfDiff,-0.65
dcf,4.33981
image,https://financialmodelingprep.com/image-stock/BWEN.jpg
ipoDate,2004-03-29
defaultImage,True
