,0
symbol,BX
price,54.94
beta,1.30381
volAvg,2880476
mktCap,38126932000
lastDiv,1.9100000000000001
range,33.0-64.97
changes,-0.41
companyName,Blackstone Group Inc
currency,USD
cik,0001393818
isin,US09260D1072
cusip,09260D107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackstone.com/
description,"The Blackstone Group, Inc. engages in the provision of investment and fund management services. The company is headquartered in New York City, New York and currently employs 2,615 full-time employees. The firm's alternative asset management businesses include investment vehicles focused on private equity, non-investment grade credit, secondary private equity funds of funds and multi-asset class strategies. The company operates through four segments: Private Equity, Real Estate, Hedge Fund Solutions and Credit. The Private Equity segment includes its corporate private equity business, which consists of its corporate private equity funds, Blackstone Capital Partners funds, its sector-focused corporate private equity funds, including its energy-focused funds, Blackstone Energy Partners funds and its core private equity fund. The Blackstone Real Estate Partners funds target a range of opportunistic real estate and real estate related investments. The Hedge Fund Solutions segment consists of Blackstone Alternative Asset Management. The Credit segment consists principally of GSO Capital Partners LP."
ceo,Mr. Stephen Schwarzman
sector,Financial Services
country,US
fullTimeEmployees,2905
phone,12125835000
address,345 Park Ave
city,New York City
state,NEW YORK
zip,10154
dcfDiff,-32.24
dcf,57.6529
image,https://financialmodelingprep.com/image-stock/BX.png
ipoDate,2007-06-22
defaultImage,False
