,0
symbol,CAE
price,22.0
beta,1.94403
volAvg,433581
mktCap,5871117800
lastDiv,0.163
range,9.8-31.56
changes,-0.66
companyName,CAE Inc
currency,CAD
cik,0001173382
isin,CA1247651088
cusip,124765108
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Aerospace & Defense
website,https://www.cae.com/
description,"CAE, Inc. engages in the provision of training and development of integrated training solutions. The company is headquartered in Saint-Laurent, Quebec and currently employs 10,000 full-time employees. The firm designs and integrates training solutions. The company operates through three segments: Civil Aviation Training Solutions, Defense and Security, and Healthcare. The firm provides training solutions for flight, cabin, maintenance and ground personnel in commercial, business and helicopter aviation, a range of flight simulation training devices, as well as ab initio pilot training and crew sourcing services. The firm is a training systems integrator for defense forces across the air, land and sea domains, and for government and civil security organizations responsible for public safety. The firm designs, manufactures and markets simulators, simulation center management solutions and courseware for training of medical and allied healthcare students and clinicians in educational institutions, hospitals and defense organizations across the world."
ceo,Mr. Marc Parent
sector,Industrials
country,CA
fullTimeEmployees,10500
phone,15143416780
address,8585 Ch de la Cote-de-Liesse
city,Saint-Laurent
state,QUEBEC
zip,H4T 1G6
dcfDiff,26.03
dcf,19.0462
image,https://financialmodelingprep.com/image-stock/CAE.jpg
ipoDate,1980-03-17
defaultImage,True
