,0
symbol,CBAN
price,13.01
beta,0.6627
volAvg,8547
mktCap,123579128
lastDiv,0.4
range,8.7-16.5
changes,-0.26
companyName,Colony Bankcorp Inc
currency,USD
cik,0000711669
isin,US19623P1012
cusip,19623P101
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.colonybank.com
description,"Colony Bankcorp, Inc. is a bank holding company, which engages in the stockholder and investor relations functions through its subsidiary, Colony Bank. The company is headquartered in Fitzgerald, Georgia and currently employs 323 full-time employees. The firm operates through its subsidiary, Colony Bank (the Bank). The Bank offers traditional banking products and services to commercial and consumer customers in its markets. The Bank's product line includes loans to small and medium-sized businesses, residential and commercial construction and land development loans, commercial real estate loans, commercial loans, agri-business and production loans, residential mortgage loans, home equity loans, consumer loans and a range of demand, savings and time deposit products, among others. The Bank also offers Internet banking services, electronic bill payment services, safe deposit box rentals, telephone banking, credit and debit card services, remote depository products and access to a network of automated teller machines (ATMs) to its customers. The company conducts a full service commercial, consumer and mortgage banking business through approximately 30 offices in various cities."
ceo,Mr. T. Heath Fountain
sector,Financial Services
country,US
fullTimeEmployees,360
phone,12294266000
address,115 S Grant St
city,Fitzgerald
state,GEORGIA
zip,31750
dcfDiff,
dcf,23.7315
image,https://financialmodelingprep.com/image-stock/CBAN.png
ipoDate,1958-09-16
defaultImage,False
