,0
symbol,CHI
price,11.75
beta,1.20509
volAvg,221656
mktCap,833354620
lastDiv,0.9599999999999999
range,5.41-12.0
changes,-0.07
companyName,Calamos Convertible Opportunities and Income Fund
currency,USD
cik,
isin,US1281171082
cusip,128117108
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Asset Management
website,http://www.calamos.com/fundinvestor/closedendfunds/CEFund.aspx?name=CHI#_overview_tab
description,"Calamos Convertible Opportunities and Income Fund (the Fund) is a diversified, closed-end management investment company. The Fund is an enhanced fixed income offering that seeks total return through a combination of capital appreciation and current income. The Fund invests in a diversified portfolio of convertible securities and high yield securities. Under normal circumstances, the Fund will invest at least 80% of its managed assets in a diversified portfolio of convertibles and non-convertible income securities, and at least 35% of its managed assets in convertible securities. The Fund holds investments in a range of sectors, such as information technology, consumer discretionary, healthcare, financials, energy, industrials, utilities, telecommunication services, materials, real estate and consumer staples. Its asset allocation is spread across common stocks, corporate bonds, convertible bonds, convertible preferred stocks and others. Calamos Advisors LLC is its investment advisor."
ceo,John P. Calamos
sector,Financial Services
country,US
fullTimeEmployees,
phone,16302451046
address,2020 Calamos Ct
city,Naperville
state,ILLINOIS
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/CHI.png
ipoDate,2002-06-26
defaultImage,False
