,0
symbol,CLB
price,17.58
beta,3.17017
volAvg,483430
mktCap,782216830
lastDiv,0.28
range,6.68-48.4
changes,-0.42
companyName,Core Laboratories NV
currency,USD
cik,0001000229
isin,NL0000200384
cusip,N22717107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas Equipment & Services
website,https://www.corelab.com/
description,"Core Laboratories NV engages in the provision of proprietary and patented reservoir description, production enhancement, and reservoir management services to the oil and gas industry. The company is headquartered in Amsterdam, Noord-Holland and currently employs 4,700 full-time employees. The firm operates through three segments: Reservoir Description, Production Enhancement and Reservoir Management. The Reservoir Description segment encompasses the characterization of petroleum reservoir rock, fluid and gas samples. The company provides analytical and field services to characterize properties of crude oil and petroleum products to the oil and gas industry. The Production Enhancement segment includes products and services relating to reservoir well completions, perforations, stimulations and production. The company provides integrated diagnostic services to evaluate the effectiveness of well completions. The Reservoir Management segment combines and integrates information from reservoir description and production enhancement services to increase production and recovery of oil and gas from its clients' reservoirs."
ceo,Mr. David Demshur
sector,Energy
country,NL
fullTimeEmployees,4300
phone,3124203191
address,"Tower a, Level 9, Strawinskylaan 913"
city,AMSTERDAM
state,NOORD-HOLLAND
zip,1077 XX
dcfDiff,
dcf,14.7084
image,https://financialmodelingprep.com/image-stock/CLB.png
ipoDate,1998-07-10
defaultImage,False
