,0
symbol,CLCT
price,66.65
beta,1.59922
volAvg,125801
mktCap,619777020
lastDiv,0.875
range,13.26-73.99
changes,-0.175
companyName,Collectors Universe Inc
currency,USD
cik,0001089143
isin,US19421R2004
cusip,19421R200
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Specialty Business Services
website,http://www.collectors.com
description,"Collectors Universe, Inc. engages in the provision of authentication and grading services for collectibles. The company is headquartered in Santa Ana, California and currently employs 377 full-time employees. The firm operates through three segments: coins, trading cards and autographs, and other collectibles. The firm is engaged in the authentication, grading, publication and Web-based advertising, subscription-based business and product sales. The other collectibles segment includes the Certified Coin Exchange (CCE) subscription business, the Coinflation.com business and its collectibles conventions business. The firm is also engaged in selling of printed publications and collectibles price guides and advertising in such publications; selling of membership subscriptions in its Collectors Club; selling of subscriptions to its CCE dealer-to-dealer Internet bid-ask market for certified coins and to its CoinFacts Website, and conducting collectibles trade shows and conventions."
ceo,Mr. Joseph Orlando
sector,Industrials
country,US
fullTimeEmployees,377
phone,19495671234
address,1921 E Alton Ave
city,Santa Ana
state,CALIFORNIA
zip,92705
dcfDiff,-5.45
dcf,64.1984
image,https://financialmodelingprep.com/image-stock/CLCT.png
ipoDate,1999-11-05
defaultImage,False
