,0
symbol,CMCM
price,1.97
beta,1.34383
volAvg,216618
mktCap,274434816
lastDiv,1.44
range,1.64-4.24
changes,-0.06
companyName,Cheetah Mobile Inc
currency,CNY
cik,0001597835
isin,US1630751048
cusip,163075104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Software Application
website,https://www.cmcm.com
description,"Cheetah Mobile, Inc. is engaged in the provision of internet and mobile security software. The company is headquartered in Beijing, Beijing and currently employs 2,592 full-time employees. The firm and its consolidated subsidiaries, variable interest entities (VIEs) and a VIE's subsidiary are engaged in the provision of online marketing services, Internet value-added services, and Internet security services and others. The firm operates a platform that offers mobile and personal computer (PC) applications for its users and global content promotional channels for its customers, both of which are powered by its cloud-based data analytics engines. For its users, its diversified suite of applications optimizes mobile and PC Internet system performance, and provides real time protection against known and unknown security threats. Its data analytics engines perform real time analysis of mobile applications, program files and Websites on their devices for behavior that may impair system performance or impose security risks."
ceo,Mr. Sheng Fu
sector,Technology
country,CN
fullTimeEmployees,2209
phone,861062927779
address,"12/F, Fosun International Center Tower, 237 Chaoyang North Rd, Chaoyang District"
city,Beijing
state,BEIJING
zip,100123
dcfDiff,108.11
dcf,10.4603
image,https://financialmodelingprep.com/image-stock/CMCM.png
ipoDate,2014-05-08
defaultImage,False
