,0
symbol,CNET
price,1.47
beta,1.72887
volAvg,493872
mktCap,31960594
lastDiv,0.0
range,0.54-2.11
changes,0.0
companyName,Chinanet Online Holdings Inc
currency,USD
cik,0001376321
isin,US16949H2013
cusip,16949H201
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Advertising Agencies
website,http://www.chinanet-online.com/
description,"ChinaNet Online Holdings, Inc. engages in providing advertising, precision marketing, online to offline sales channel expansion and the related data services to small and medium enterprises. The company is headquartered in Beijing, Beijing and currently employs 449 full-time employees. The firm is a business-to-businesses (B2B), integrated Internet technology company providing online-to-offline (O2O) sales channel expansion, precision marketing and the related data services for small and medium-sized enterprises, and entrepreneurial management and networking services for entrepreneurs in the People's Republic of China. Its segments include Internet advertising and TV advertising. Its services include preparing and publishing media enabled advertising and marketing campaigns for clients on the Internet, mobile phone, television and other communication channels; hosting mini-sites with online messaging and consulting functionalities; providing search engine marketing services; providing data services, and providing social networking and information sharing services to entrepreneurs."
ceo, Handong Cheng
sector,Communication Services
country,CN
fullTimeEmployees,449
phone,861060846616
address,"No.3 Min Zhuang Road, Building 6,, Yu Quan Hui Gu Tuspark"
city,Beijing
state,BEIJING
zip,
dcfDiff,-7.86
dcf,1.70358
image,https://financialmodelingprep.com/image-stock/CNET.png
ipoDate,2010-09-14
defaultImage,False
