,0
symbol,CNXM
price,9.16
beta,1.0179
volAvg,889596
mktCap,822560640
lastDiv,0.9969999999999999
range,5.2-16.94
changes,-0.62
companyName,CNX Midstream Partners LP
currency,USD
cik,0001610418
isin,US12654A1016
cusip,12654A101
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas Midstream
website,http://www.conemidstream.com/
description,"CNX Midstream Partners LP owns, operates, develops, and acquires natural gas gathering and other midstream energy assets in the Marcellus Shale in Pennsylvania and West Virginia. The company is headquartered in Canonsburg, Pennsylvania. The firm owns, operates, develops and acquires natural gas gathering and other midstream energy assets to service CONSOL's and Noble Energy's production in the Marcellus Shale in Pennsylvania and West Virginia. Its assets include natural gas gathering pipelines and compression and dehydration facilities, as well as condensate gathering, collection, separation and stabilization facilities. The company operates through three segments: Anchor Systems, Growth Systems and Additional Systems. Its Anchor Systems include developed midstream systems, including its three midstream systems (the McQuay System, the Majorsville System and the Mamont System) and related assets. Its Growth Systems are located in the dry gas regions of its dedicated acreage."
ceo,Mr. Nicholas DeIuliis
sector,Energy
country,US
fullTimeEmployees,0
phone,17244854000
address,1000 Consol Energy Dr
city,Canonsburg
state,PENNSYLVANIA
zip,15317
dcfDiff,-15.65
dcf,9.16049
image,https://financialmodelingprep.com/image-stock/CNXM.png
ipoDate,2014-09-25
defaultImage,False
