,0
symbol,COF
price,83.58
beta,1.74964
volAvg,3033083
mktCap,38229242000
lastDiv,1.0
range,38.0-107.59
changes,-1.09
companyName,Capital One Financial Corp
currency,USD
cik,0000927628
isin,US14040H1059
cusip,14040H105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Credit Services
website,https://www.capitalone.com
description,"Capital One Financial Corp. operates as a financial holding company, which engages in the provision of financial products and services. The company is headquartered in Mc Lean, Virginia and currently employs 52,100 full-time employees. The Company, along with its subsidiaries, offers a range of financial products and services to consumers, small businesses and commercial clients through branches, the Internet and other distribution channels. The firm's segments include Credit Card, Consumer Banking, Commercial Banking and Other. The Credit Card segment consists of its domestic consumer and small business card lending, and the international card lending businesses in Canada and the United Kingdom. The Consumer Banking segment consists of its branch-based lending and deposit gathering activities for consumers and small businesses, national deposit gathering, national auto lending and consumer home loan lending and servicing activities. The Commercial Banking consists of its lending, deposit gathering and treasury management services to commercial real estate, and commercial and industrial customers."
ceo,Mr. Richard Fairbank
sector,Financial Services
country,US
fullTimeEmployees,52100
phone,17037201000
address,1680 Capital One Dr Ste 1400
city,MC LEAN
state,VIRGINIA
zip,22102
dcfDiff,-95.09
dcf,101.015
image,https://financialmodelingprep.com/image-stock/COF.png
ipoDate,1994-11-16
defaultImage,False
