,0
symbol,COLM
price,77.52
beta,0.66167
volAvg,360916
mktCap,5132753900
lastDiv,0.5
range,51.82-102.05
changes,-2.58
companyName,Columbia Sportswear Co
currency,USD
cik,0001050797
isin,US1985161066
cusip,198516106
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Apparel Manufacturing
website,https://www.columbia.com/
description,"Columbia Sportswear Co. engages in designing, sourcing, marketing, and distributing outdoor and active lifestyle apparel, footwear, accessories, and equipment. The company is headquartered in Portland, Oregon and currently employs 6,511 full-time employees. The firm designs, sources, markets and distributes outdoor lifestyle apparel, footwear, accessories and equipment under the Columbia, Mountain Hardwear, Sorel, prAna and other brands. Its geographic segments are the United States, Latin America and Asia Pacific (LAAP), Europe, Middle East and Africa (EMEA), and Canada. The firm develops and manages its merchandise in categories, including apparel, accessories and equipment, and footwear. The company distributes its products through a mix of wholesale distribution channels, its own direct-to-consumer channels (retail stores and e-commerce), independent distributors and licensees. As of December 31, 2016, its products were sold in approximately 90 countries. In 59 of those countries, it sells to independent distributors to whom it has granted distribution rights. Contract manufacturers located outside the United States manufacture all of its products."
ceo,Mr. Timothy Boyle
sector,Consumer Cyclical
country,US
fullTimeEmployees,8900
phone,15039854000
address,14375 NW Science Park Dr
city,Portland
state,OREGON
zip,97229
dcfDiff,13.56
dcf,102.506
image,https://financialmodelingprep.com/image-stock/COLM.png
ipoDate,1998-01-01
defaultImage,False
