,0
symbol,CORR
price,4.28
beta,1.12514
volAvg,332270
mktCap,58428424
lastDiv,1.65
range,3.56-47.56
changes,-0.37
companyName,CorEnergy Infrastructure Trust Inc
currency,USD
cik,0001347652
isin,US21870U5020
cusip,21870U502
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Diversified
website,https://corenergy.reit/
description,"CorEnergy Infrastructure Trust, Inc. is a real estate investment trust, which focuses on energy infrastructure such as pipelines, storage terminals, transmission and distribution assets. The company is headquartered in Kansas City, Missouri and currently employs 17 full-time employees. The firm also provides other types of capital, including loans secured by energy infrastructure assets. The firm owns assets, such as pipelines, storage terminals, and transmission and distribution assets. The company assets include Grand Isle Gathering System, Pinedale Liquids Gathering System (Pinedale LGS), MoGas Pipeline System and Omega Pipeline. Its Grand Isle Gathering System is a subsea, midstream 153-mile pipeline system located in the Gulf of Mexico. The Pinedale LGS is located in the Pinedale Anticline in Wyoming triple-net leased on a long-term basis. MoGas Pipeline System is an approximately 263-mile interstate natural gas pipeline in and around St. Louis and extending into central Missouri."
ceo,Mr. David Schulte
sector,Real Estate
country,US
fullTimeEmployees,29
phone,18776992677
address,1100 Walnut St Ste 3350
city,Kansas City
state,MISSOURI
zip,64106
dcfDiff,
dcf,14.5775
image,https://financialmodelingprep.com/image-stock/CORR.jpg
ipoDate,2007-02-02
defaultImage,True
