,0
symbol,CPA
price,67.44
beta,1.24595
volAvg,474061
mktCap,2855686140
lastDiv,1.4500000000000002
range,24.0-114.0
changes,-1.56
companyName,Copa Holdings SA
currency,USD
cik,0001345105
isin,PAP310761054
cusip,P31076105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Airlines
website,https://copa.gcs-web.com/
description,"Copa Holdings SA engages in the provision of air transportation. (Copa Airlines) and AeroRepublica, S. A. (Copa Colombia). The firm operates through air transportation segment. Copa Airlines operates from its position located in the Republic of Panama. Copa Airlines provides international air transportation for passengers, cargo and mail, operating from its Panama City hub in the Republic of Panama. Copa Colombia provides service within Colombia and international flights from various cities in Colombia to Panama, Venezuela, Ecuador, Mexico, Cuba, Guatemala and Costa Rica. Copa Colombia provides domestic and international air transportation for passengers, cargo and mail with a point-to-point route network. Its subsidiary, Oval Financial Leasing, Ltd., controls the special purpose entities that have a beneficial interest in the majority of its fleet."
ceo,Mr. Pedro Heilbron
sector,Industrials
country,PA
fullTimeEmployees,8877
phone,5073042774
address,"Torre Norte, Avenida Principal y Avnda de la Rtnda, Cst dl Est Cmplj Bsns Prk, Prq Lfvr"
city,PANAMA CITY
state,
zip,
dcfDiff,
dcf,69.2485
image,https://financialmodelingprep.com/image-stock/CPA.png
ipoDate,2005-12-15
defaultImage,False
