,0
symbol,CPF
price,16.56
beta,1.24266
volAvg,166049
mktCap,466657472
lastDiv,0.92
range,12.4-30.56
changes,-0.33
companyName,Central Pacific Financial Corp
currency,USD
cik,0000701347
isin,US1547604090
cusip,154760409
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Banks Regional
website,https://www.centralpacificbank.com/About-CPB/Works-For-You/Overview.aspx
description,"Central Pacific Financial Corp. is a bank holding company, which engages in the provision of commercial banking services through its wholly owned subsidiary, Central Pacific Bank. The company is headquartered in Honolulu, Hawaii and currently employs 773 full-time employees. The firm's segments include Banking Operations, Treasury and All Others. The Banking Operations segment includes construction and real estate development lending, commercial lending, residential mortgage lending, consumer lending, trust services, retail brokerage services and its retail branch offices, which provide a range of deposit and loan products, as well as various other banking services. The Treasury segment is responsible for managing the Company's investment securities portfolio and wholesale funding activities. The All Others segment includes activities, such as electronic banking, data processing and management of Bank-owned properties. The firm also offers wealth management products and services, such as non-deposit investment products, annuities, insurance, investment management, asset custody, and general consultation and planning services."
ceo,Mr. Paul Yonamine
sector,Financial Services
country,US
fullTimeEmployees,759
phone,18085440500
address,220 S KING ST
city,Honolulu
state,HAWAII
zip,96813
dcfDiff,
dcf,17.2245
image,https://financialmodelingprep.com/image-stock/CPF.jpg
ipoDate,1987-08-28
defaultImage,True
