,0
symbol,CPLG
price,5.44
beta,0.0
volAvg,187963
mktCap,316395840
lastDiv,0.4
range,2.18-11.135
changes,-0.22
companyName,CorePoint Lodging Inc
currency,USD
cik,0001707178
isin,US21872L1044
cusip,21872L104
exchange,NYSE
exchangeShortName,NYSE
industry,REIT Hotel & Motel
website,https://www.corepoint.com/
description,"CorePoint Lodging, Inc. operates as a real estate investment trust. The company is headquartered in Irving, Texas and currently employs 33 full-time employees. The firm is focused on select-service midscale and upper-midscale lodging. The firm owns a geographically diverse portfolio of 316 hotels and more than 40,000 rooms across 41 states. Its hotels are located primarily in or near employment centers, airports and other travel thoroughfares. The firm's main focus is on the mid-tier, select service space, because hotel developers are migrating to this tier, attracted by the strong cash-on-cash returns available from mid-tier hotels."
ceo,Mr. Keith Cline
sector,Real Estate
country,US
fullTimeEmployees,30
phone,19728933199
address,125 E John Carpenter Fwy Ste 1650
city,Irving
state,TEXAS
zip,75062
dcfDiff,
dcf,1768830.0
image,https://financialmodelingprep.com/image-stock/CPLG.jpg
ipoDate,2018-05-17
defaultImage,True
