,0
symbol,CSGP
price,901.36
beta,0.97814
volAvg,177884
mktCap,35529900000
lastDiv,0.0
range,500.24-939.0
changes,2.69
companyName,CoStar Group Inc
currency,USD
cik,0001057352
isin,US22160N1090
cusip,22160N109
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Real Estate Services
website,http://www.costar.com
description,"CoStar Group, Inc. provides commercial real estate information, analytics, and online marketplaces to the commercial real estate and related business communities. The company is headquartered in Washington, Washington Dc and currently employs 3,705 full-time employees. The firm provides online marketplaces for commercial real estate, apartment rentals, lands for sale and businesses for sale. The company manages its business geographically in two segments: North America, which includes the United States and Canada, and International, which includes the United Kingdom, Spain, Germany and France. Its suite of information, analytics and online marketplaces is branded and marketed to its customers. Its services are primarily derived from a database of building-specific information and offer customers specialized tools for accessing, analyzing and using its information. The company has five brands: CoStar, LoopNet, Apartments.com, BizBuySell and LandsofAmerica."
ceo,Mr. Andrew Florance
sector,Real Estate
country,US
fullTimeEmployees,4337
phone,12023466500
address,1331 L St NW
city,WASHINGTON
state,WASHINGTON DC
zip,20005
dcfDiff,-385.25
dcf,854.721
image,https://financialmodelingprep.com/image-stock/CSGP.png
ipoDate,1998-07-01
defaultImage,False
