,0
symbol,CVS
price,69.39
beta,0.66985
volAvg,8277632
mktCap,90825261000
lastDiv,2.0
range,52.04-77.03
changes,-0.12
companyName,CVS Health Corp
currency,USD
cik,0000064803
isin,US1266501006
cusip,126650100
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Health Care Plans
website,https://cvshealth.com/
description,"CVS Health Corp. engages in the provision of health care services. The company is headquartered in Woonsocket, Rhode Island and currently employs 295,000 full-time employees. The firm provides pharmacy care for the senior community through Omnicare, Inc. (Omnicare) and Omnicare's long-term care (LTC) operations, which include distribution of pharmaceuticals, related pharmacy consulting and other ancillary services to chronic care facilities and other care settings. The company operates through three segments: Pharmacy Services, Retail/LTC and Corporate. The Pharmacy Services Segment provides a range of pharmacy benefit management (PBM) solutions to its clients. As of December 31, 2016, the Retail/LTC Segment included 9,709 retail locations (of which 7,980 were its stores that operated a pharmacy and 1,674 were its pharmacies located within Target Corporation (Target) stores), its online retail pharmacy Websites, CVS.com, Navarro.com and Onofre.com.br, 38 onsite pharmacy stores, its long-term care pharmacy operations and its retail healthcare clinics."
ceo,Mr. Larry Merlo
sector,Healthcare
country,US
fullTimeEmployees,290000
phone,14017651500
address,1 Cvs Dr
city,Woonsocket
state,RHODE ISLAND
zip,02895
dcfDiff,-61.58
dcf,63.5848
image,https://financialmodelingprep.com/image-stock/CVS.jpg
ipoDate,1952-10-01
defaultImage,True
