,0
symbol,DISCK
price,20.36
beta,1.63575
volAvg,2548084
mktCap,10422976500
lastDiv,0.0
range,15.43-31.2
changes,0.67
companyName,Discovery Communications Inc.
currency,USD
cik,
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Entertainment
website,http://corporate.discovery.com
description,
ceo,Mr. David M. Zaslav
sector,Communication Services
country,United States
fullTimeEmployees,9200
phone,240-662-2000
address,8403 Colesville Road
city,Silver Spring
state,MD
zip,20910
dcfDiff,287.38
dcf,315.84
image,https://financialmodelingprep.com/image-stock/DISCK.jpg
ipoDate,
defaultImage,True
