,0
symbol,DJCO
price,275.7
beta,0.74287
volAvg,2443
mktCap,380672800
lastDiv,0.0
range,187.53-317.01
changes,3.1
companyName,Daily Journal Corp
currency,USD
cik,0000783412
isin,US2339121046
cusip,233912104
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Publishing
website,https://www.dailyjournal.com/
description,"Daily Journal Corp. engages in the publication of newspapers and websites covering California and Arizona. The company is headquartered in Los Angeles, California and currently employs 375 full-time employees. The firm also serves as a newspaper representative specializing in public notice advertising. The company operates through two segments: Traditional Business and Journal Technologies. The Traditional Business segment provides newspaper publishing and related services. The Journal Technologies segment supplies case management software systems and related products to courts, prosecutor and public defender offices, probation departments and other justice agencies, including administrative law organizations, city and county governments and bar associations. These organizations use the Journal Technologies family of products to help manage cases and information electronically, to interface with other justice partners and to extend electronic services to bar members and the public. Its subsidiary is Journal Technologies, Inc. (Journal Technologies)."
ceo,Mr. Gerald Salzman
sector,Communication Services
country,US
fullTimeEmployees,375
phone,12132295300
address,915 E 1st St
city,Los Angeles
state,CALIFORNIA
zip,90012
dcfDiff,-218.5
dcf,287.499
image,https://financialmodelingprep.com/image-stock/DJCO.png
ipoDate,1986-06-11
defaultImage,False
