,0
symbol,DKNG
price,44.2853
beta,0.0
volAvg,25593526
mktCap,16750560300
lastDiv,0.0
range,10.04-64.19
changes,3.0353
companyName,Draftkings Inc
currency,USD
cik,
isin,US26142R1041
cusip,26142R104
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Gambling
website,
description,"Draftkings Inc. is a digital sports entertainment and gaming company. The Company provides users with daily fantasy sports, sports betting and iGaming opportunities. Its offerings include business-to- consumer (B2C) offerings and business-to-business (B2B) offerings. Its B2C product offerings include Daily Fantasy Sports, Sportsbook and iGaming. Daily Fantasy Sports is a peer-to-peer platform in which its users compete against one another for prizes. Sportsbook includes sports betting, which involves a user placing a bet by wagering money on an event at some fixed odds (proposition) determined by the Company. iGaming is an online casino, which includes a suite of games available in land-based casinos, such as blackjack, roulette and slot machines. It also supplies B2B sports betting and iGaming services for various gaming operators and government-run lotteries."
ceo,Mr. Jason D. Robins
sector,Consumer Cyclical
country,US
fullTimeEmployees,2
phone,16179866744
address,"222 Berkeley Street, 5Th Floor"
city,Boston
state,MASSACHUSETTS
zip,02116
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/DKNG.jpg
ipoDate,2019-07-03
defaultImage,True
