,0
symbol,DMLP
price,10.475
beta,1.50982
volAvg,68221
mktCap,363270912
lastDiv,1.391
range,8.52-21.46
changes,0.015
companyName,Dorchester Minerals LP
currency,USD
cik,0001172358
isin,US25820R1059
cusip,25820R105
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Oil & Gas E&P
website,http://www.dmlp.net/
description,"Dorchester Minerals LP engages in the acquisition, ownership, and administration of Royalty Properties and Net Profits Interests. The company is headquartered in Dallas, Texas and currently employs 25 full-time employees. The firm is engaged in the acquisition, ownership and administration of Royalty Properties and net profits interests (NPIs). As of December 31, 2016, the Royalty Properties consisted of producing and nonproducing mineral, royalty, overriding royalty, net profits and leasehold interests located in many counties and parishes in 25 states. The NPIs represent net profits overriding royalty interests in various properties owned by the Company. As of December 31, 2016, the Company had completed 270 wells on its Royalty Properties in seven states, and 39 new wells completed on its Properties in three states. The firm owns both a royalty interest and a net profits interest. The firm's general partner is Dorchester Minerals Management LP."
ceo,Mr. William McManemin
sector,Energy
country,US
fullTimeEmployees,28
phone,12145590300
address,3838 Oak Lawn Ave Ste 300
city,Dallas
state,TEXAS
zip,75219
dcfDiff,
dcf,459.861
image,https://financialmodelingprep.com/image-stock/DMLP.jpg
ipoDate,2003-02-03
defaultImage,True
