,0
symbol,DWSN
price,1.78
beta,2.17263
volAvg,61333
mktCap,41791016
lastDiv,0.0
range,0.84-2.93
changes,0.05
companyName,Dawson Geophysical Co
currency,USD
cik,0000799165
isin,US2393601008
cusip,239360100
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Oil & Gas Equipment & Services
website,http://www.dawson3d.com/
description,"Dawson Geophysical Co. engages in the provision of onshore seismic data acquisition services. The company is headquartered in Midland, Texas and currently employs 582 full-time employees. The firm acquires and processes two-dimensional (2-D), three-dimensional (3-D) and multi-component seismic data for its clients, ranging from oil and gas companies to independent oil and gas operators, as well as providers of multi-client data libraries. The company operates through contract seismic data acquisition and processing services segment. The company operates approximately 10 seismic crews, consisting of over eight crews in the United States and approximately two crews in Canada, and a seismic data processing center. The company owns equipment for over 20 land-based seismic data acquisition crews, approximately 220 vibrator energy source units, over 248,000 recording channels and approximately 20 central recording systems."
ceo,Mr. Stephen Jumper
sector,Energy
country,US
fullTimeEmployees,455
phone,14326843000
address,508 W Wall St Ste 800
city,Midland
state,TEXAS
zip,79701
dcfDiff,
dcf,3.17338
image,https://financialmodelingprep.com/image-stock/DWSN.jpg
ipoDate,1993-10-27
defaultImage,True
