,0
symbol,DX
price,17.599
beta,1.3512
volAvg,317978
mktCap,407321824
lastDiv,1.8299999999999996
range,7.04-20.34
changes,0.209
companyName,Dynex Capital Inc
currency,USD
cik,0000826675
isin,US26817Q8868
cusip,26817Q886
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Mortgage
website,http://www.dynexcapital.com
description,"Dynex Capital, Inc. is an internally managed mortgage real estate investment trust, which invests in residential and commercial mortgage-backed securities on a leveraged basis. The company is headquartered in Glen Allen, Virginia and currently employs 19 full-time employees. The firm's objective is to provide attractive risk-adjusted returns to its shareholders over the long term that is reflective of a leveraged fixed income portfolio with a focus on capital preservation. The company seeks to provide returns to its shareholders through regular quarterly dividends and through capital appreciation. The company invests in Agency and non-Agency mortgage-backed securities (MBS). MBS consists of residential MBS (RMBS), commercial MBS (CMBS) and CMBS interest-only securities. Agency MBS have a guaranty of principal payment by an agency of the United States Government or a government-sponsored entity (GSE), such as Fannie Mae and Freddie Mac."
ceo,Mr. Byron Boston
sector,Real Estate
country,US
fullTimeEmployees,20
phone,18042175800
address,4991 Lake Brook Dr Ste 100
city,Glen Allen
state,VIRGINIA
zip,23060-9245
dcfDiff,
dcf,18.5795
image,https://financialmodelingprep.com/image-stock/DX.jpg
ipoDate,1988-02-10
defaultImage,True
