,0
symbol,ECPG
price,29.9
beta,1.67496
volAvg,411540
mktCap,937206530
lastDiv,0.0
range,15.27-49.01
changes,-0.1
companyName,Encore Capital Group Inc
currency,USD
cik,0001084961
isin,US2925541029
cusip,292554102
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Mortgage Finance
website,https://www.encorecapital.com/
description,"Encore Capital Group, Inc. engages in the provision of debt management and recovery solutions for consumers and property owners across a broad range of financial assets. The company is headquartered in San Diego, California and currently employs 7,900 full-time employees. The firm operates through Portfolio Purchasing and Recovery segment. The firm's geographical segments include the United States, Europe and other. The firm's portfolios of defaulted consumer receivables at discounts and manages them by partnering with individuals as they repay their obligations and work toward financial recovery. Defaulted receivables are consumers' unpaid financial commitments to credit originators, including banks, credit unions, consumer finance companies, commercial retailers, and telecommunication companies. Defaulted receivables also include receivables subject to bankruptcy proceedings. The firm through certain subsidiaries, is engaged in portfolio purchasing and recovery in the United States, including Puerto Rico."
ceo,Mr. Ashish Masih
sector,Financial Services
country,US
fullTimeEmployees,7300
phone,18774454581
address,"350 Camino De La Reina, Suite 100"
city,San Diego
state,CALIFORNIA
zip,92108
dcfDiff,172.8
dcf,45.4409
image,https://financialmodelingprep.com/image-stock/ECPG.png
ipoDate,1999-07-09
defaultImage,False
