,0
symbol,EDSA
price,5.465
beta,0.92292
volAvg,251666
mktCap,52512476
lastDiv,0.0
range,1.58-19.1
changes,-0.095
companyName,Edesa Biotech Inc
currency,USD
cik,0001540159
isin,
cusip,
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Biotechnology
website,https://stellarbiotechnologies.com/
description,"Edesa Biotech, Inc. is a biopharmaceutical company. The company is headquartered in Markham, Ontario and currently employs 10 full-time employees. The firm is focused on the development of therapeutics for dermatological and gastrointestinal indications. The Company’s lead product candidate, EB01, is a novel non-steroidal anti-inflammatory molecule (sPLA2 inhibitor) for the treatment of chronic allergic contact dermatitis. The firm has its operations in the United States and in Canada."
ceo,Dr. Pardeep Nijhawan
sector,Healthcare
country,CA
fullTimeEmployees,10
phone,19054751234
address,100 Spy Crt
city,Markham
state,ONTARIO
zip,L3R 5H6
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/EDSA.jpg
ipoDate,2008-08-25
defaultImage,True
