,0
symbol,EEX
price,3.115
beta,1.64523
volAvg,205441
mktCap,222537792
lastDiv,0.15
range,1.5-10.935
changes,0.045
companyName,Emerald Holding Inc
currency,USD
cik,0001579214
isin,US29103W1045
cusip,29103W104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Advertising Agencies
website,
description,"Emerald Holding, Inc., formerly Emerald Expositions Events Inc., is an operator of business-to-business (B2B) trade shows. The Company operates across multiple sectors, which includes: Gift, Home and General Merchandise; Sports; Design and Construction; Technology; Jewelry; and others including Photography, Food, Healthcare, Industrials and Military. The Company operates approximately 55 trade shows, as well as other face-to-face events. It operates 10 trade shows in the Gift, Home and General Merchandise sector; 17 trade shows in Sports sector; eight trade shows in Design and Construction; seven trade shows in the Technology sector; five trade shows in Jewelry sector; and other trade shows include 10 shows across sectors."
ceo,Mr. Brian Field
sector,Communication Services
country,US
fullTimeEmployees,548
phone,19492265700
address,31910 Del Obispo St Ste 200
city,San Juan Capistrano
state,CALIFORNIA
zip,92675
dcfDiff,
dcf,2.76386
image,https://financialmodelingprep.com/image-stock/EEX.jpg
ipoDate,2017-04-28
defaultImage,True
