,0
symbol,EIDX
price,77.89
beta,0.0
volAvg,197063
mktCap,3011476740
lastDiv,0.0
range,28.39-80.65
changes,-0.83
companyName,Eidos Therapeutics Inc
currency,USD
cik,0001731831
isin,US28249H1041
cusip,28249H104
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://eidostx.com
description,"Eidos Therapeutics, Inc. focuses on addressing the large and growing unmet need in diseases caused by transthyretin (TTR) amyloidosis (ATTR). The company is headquartered in San Francisco, California and currently employs 40 full-time employees. The firm is focused on addressing the unmet need in diseases caused by transthyretin (TTR), amyloidosis (ATTR). The company focuses on treating the disease by targeting them at their collective source by stabilizing TTR. The Company’s product candidate, AG10, is an orally-administered small molecule designed to potently stabilize tetrameric TTR, thereby halting at its outset the series of molecular events that give rise to ATTR. AG10 binds and stabilizes TTR in the blood, preventing the formation of amyloid and halting progression of the disease."
ceo,Dr. Neil Kumar
sector,Healthcare
country,US
fullTimeEmployees,47
phone,16503919740
address,101 Montgomery St Ste 2550
city,San Francisco
state,CALIFORNIA
zip,94104
dcfDiff,
dcf,78.0893
image,https://financialmodelingprep.com/image-stock/EIDX.png
ipoDate,2018-06-20
defaultImage,False
