,0
symbol,ELC
price,26.21
beta,-0.008434
volAvg,322926
mktCap,1548760000
lastDiv,0.0
range,26.21-9930.0
changes,-0.04
companyName,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,-24.94
dcf,0.0
image,https://financialmodelingprep.com/image-stock/ELC.jpg
ipoDate,
defaultImage,True
