,0
symbol,ELLO
price,33.3702
beta,1.6737
volAvg,7563
mktCap,422203136
lastDiv,0.0
range,10.57-37.58
changes,0.8702
companyName,Ellomay Capital Ltd
currency,EUR
cik,
isin,IL0010826357
cusip,M39927120
exchange,NYSE American
exchangeShortName,AMEX
industry,Utilities Renewable
website,http://www.ellomay.com
description,"Ellomay Capital Ltd. operates in the business of energy and infrastructure sector, which focuses on the production of renewable and clean energy. The firm owns approximately 16 photovoltaic (PV) plants that are connected to their respective national grids and operates as over 12 photovoltaic plants in Italy with an aggregate installed capacity of over 22.6 megawatt peak (MWp) and over four photovoltaic plants in Spain with an aggregate installed capacity of approximately 7.9 MWp. In addition, it owns an interest in Dorad Energy Ltd. (Dorad), and holds an option to increase its indirect holdings in Dorad under certain conditions. Dorad operates the Dorad Power Plant, a combined cycle power plant based on natural gas, with a production capacity of approximately 850 megawatts, located south of Ashkelon. The company operates in Italy and in Spain through its subsidiaries that own over 16 PV Plants, and in Israel primarily through U. Dori Energy Infrastructures Ltd. (Dori Energy)."
ceo,Mr. Ran Fridrich
sector,Utilities
country,IL
fullTimeEmployees,11
phone,97237971111
address,9 Rothschild Blvd
city,TEL AVIV-YAFO
state,
zip,6688121
dcfDiff,209.84
dcf,39.9845
image,https://financialmodelingprep.com/image-stock/ELLO.png
ipoDate,1995-10-01
defaultImage,False
