,0
symbol,ENSV
price,0.1307
beta,2.24809
volAvg,5996989
mktCap,9384587
lastDiv,0.0
range,0.075-0.39
changes,-0.0033
companyName,Enservco Corp
currency,USD
cik,0000319458
isin,US29358Y1029
cusip,29358Y102
exchange,NYSE American
exchangeShortName,AMEX
industry,Oil & Gas Services
website,http://www.enservco.com/
description,"Enservco Corp. engages in the operation of fleet services. The company is headquartered in Denver, Colorado and currently employs 231 full-time employees. The firm's services include frac water heating, hot oiling and acidizing (well enhancement services), and water transfer, water treatment, water hauling, fluid disposal, frac tank rental (fluid management services) and other general oilfield services. Well enhancement services consist of frac water heating, acidizing, hot oiling services and pressure testing. These services are provided by its subsidiary, Heat Waves Hot Oil Service LLC (Heat Waves), which utilize a fleet of approximately 200 custom designed trucks and other related equipment. The firm owns or leases, and operates approximately 65 water-hauling trucks and trailers equipped with pumps to move water from or into wells, tanks and other storage facilities. Each truck has a hauling capacity of approximately 130 barrels. The company also provides well-site construction and roustabout services."
ceo,Mr. Ian Dickinson
sector,Energy
country,US
fullTimeEmployees,186
phone,13033333678
address,999 18th St Ste 1925N
city,Denver
state,COLORADO
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/ENSV.png
ipoDate,1993-10-28
defaultImage,False
