,0
symbol,EOD
price,4.5327
beta,0.98254
volAvg,206610
mktCap,198547680
lastDiv,0.5690000000000001
range,2.92-5.86
changes,0.0327
companyName,Wells Fargo Global Dividend Opportunity Fund
currency,USD
cik,
isin,US94987C1036
cusip,94987C103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,
description,"Wells Fargo Global Dividend Opportunity Fund (the Fund) is a diversified, closed-end management investment company. The Fund's primary investment objective is to seek a high level of current income. The Fund's secondary objective is long-term growth of capital. The Fund's portfolio includes investments in various areas, such as the United States, the United Kingdom, Italy, Spain, France, Taiwan, Germany and Hong Kong. It holds investments in various sectors, such as utilities, telecommunication services, industrials, marine, capital markets, financials, real estate, equity real estate investment trusts, diversified telecommunication services, electric utilities, information technology, diversified financial services, real estate management and development, and energy. Wells Fargo Funds Management, LLC is the advisor to the Fund, and Crow Point Partners, LLC and Wells Capital Management Incorporated are sub-advisors to the Fund."
ceo,
sector,Financial Services
country,US
fullTimeEmployees,
phone,18002222222
address,525 Market St
city,San Francisco
state,CALIFORNIA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/EOD.jpg
ipoDate,2007-03-28
defaultImage,True
