,0
symbol,ETO
price,23.08
beta,1.31111
volAvg,53210
mktCap,361922080
lastDiv,2.1174999999999997
range,10.84-26.93
changes,0.21
companyName,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund
currency,USD
cik,
isin,US27828U1060
cusip,27828U106
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://www.eatonvance.com
description,"Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund is a diversified, closed-end management investment company. The Fund's investment objective is to provide a high level of after-tax total return consisting primarily of tax-advantaged dividend income and capital appreciation. The Fund's portfolio includes its investments in various sectors, such as aerospace and defense, banks, beverages, biotechnology, chemicals, commercial services and supplies, containers and packaging, diversified telecommunication services, electric utilities, electrical equipment, energy equipment and services, equity real estate investment trusts, food products, healthcare equipment and supplies, household durables, household products, industrial conglomerates, insurance, Internet and direct marketing retail, Internet software and services, machinery, metals and mining, personal products, pharmaceuticals, professional services, and road and rail. Eaton Vance Management is its investment advisor."
ceo,
sector,Financial Services
country,US
fullTimeEmployees,0
phone,16174828260
address,2 International Pl
city,
state,COLOMBIA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/ETO.png
ipoDate,2004-04-28
defaultImage,False
