,0
symbol,EXP
price,89.67
beta,1.38466
volAvg,331952
mktCap,3749810940
lastDiv,0.2
range,41.83-97.79
changes,2.59
companyName,Eagle Materials Inc
currency,USD
cik,0000918646
isin,US26969P1084
cusip,26969P108
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Building Materials
website,http://www.eaglematerials.com
description,"Eagle Materials, Inc. is a holding company, which engages in the provision of heavy construction materials, light building materials, and materials used for oil and natural gas extraction. The company is headquartered in Dallas, Texas and currently employs 2,300 full-time employees. The firm operates through five segments: Cement, Concrete and Aggregates, Gypsum Wallboard, Recycled Paperboard, and Oil and Gas Proppants. The firm's construction products are used in residential, commercial and infrastructure construction, and include cement, slag, concrete and aggregates. Its basic materials used for oil and natural gas extraction include frac sand and oil well cement. The company sells cement in various regional markets, including Texas, Illinois, the central plains, Michigan, Iowa, the Rocky Mountains, northern Nevada, southern Ohio and northern California. The company sells slag in the greater Chicago, Illinois area. The company also operates a recycled paperboard business, which sells internally to its wallboard business, as well as to external customers. The company sells oil well cement and frac sand to shale deposit zones across the United States."
ceo,Mr. Michael Haack
sector,Basic Materials
country,US
fullTimeEmployees,2400
phone,12144322000
address,"5960 Berkshire Lane, Suite 900"
city,Dallas
state,TEXAS
zip,75225
dcfDiff,14.14
dcf,92.2359
image,https://financialmodelingprep.com/image-stock/EXP.jpg
ipoDate,1994-04-12
defaultImage,True
